ContractTitle,ContractDate,ContractAmount,Location,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Rev,10/19/2018,Dollar,City Centre,1,Abatz,1,4,true,3,1,sustainable,40% reduction in energy use,0
Mrs,4/20/2012,Dollar,Central District,3,Ainyx,2,47,false,1,3,sustainable,40% reduction in energy use,0
Ms,10/12/2006,Euro,City Centre,5,Realcube,3,21,true,3,4,sustainable,40% reduction in energy use,1
Mrs,2/9/2007,Naira,Central District,1,Einti,4,39,false,2,4,reclaimed,40% reduction in energy use,0
Rev,10/11/2011,Rial,Town Square,1,Edgepulse,3,2,true,3,4,reclaimed,40% reduction in energy use,0
Honorable,5/29/2004,Franc,City Centre,4,Skiba,5,3,false,2,1,certified,40% reduction in energy use,0
Rev,9/1/2014,Rupiah,Town Square,3,Mydo,1,56,false,3,2,sustainable,30% reduction in energy use,1
Ms,2/1/2013,Peso,City Centre,2,Chatterbridge,3,70,true,3,1,sustainable,40% reduction in energy use,0
Mr,9/4/2013,Real,Town Square,5,Centidel,5,24,false,2,4,reclaimed,30% reduction in energy use,0
Mrs,2/4/2005,Afghani,City Centre,5,Brainbox,2,16,false,2,1,certified,30% reduction in energy use,0
Mr,2/5/2013,Won,Central District,4,Youopia,2,63,false,3,3,certified,30% reduction in energy use,0
Mrs,1/2/2016,Euro,Town Square,5,Photolist,4,63,true,2,4,certified,30% reduction in energy use,0
Rev,6/19/2007,Peso,Town Square,1,Skyndu,2,87,false,1,4,certified,40% reduction in energy use,0
Mr,6/27/2011,Yuan Renminbi,City Centre,4,Talane,1,69,true,3,4,certified,40% reduction in energy use,1
Rev,8/28/2014,Franc,Town Square,4,Minyx,5,82,true,2,2,sustainable,30% reduction in energy use,1
Honorable,9/12/2003,Real,Central District,3,Yamia,3,23,false,2,3,sustainable,30% reduction in energy use,0
Mr,11/11/2000,Krona,City Centre,5,Kwilith,3,85,true,3,2,certified,40% reduction in energy use,0
Dr,1/19/2006,Euro,City Centre,3,Oba,2,1,false,1,1,reclaimed,40% reduction in energy use,1
Mr,9/24/2021,Yuan Renminbi,City Centre,2,Livefish,2,88,false,3,2,certified,30% reduction in energy use,0
Mr,2/7/2018,Euro,City Centre,2,Eare,1,75,true,2,3,sustainable,30% reduction in energy use,1
Rev,12/26/2009,Rupiah,Town Square,5,Skimia,1,45,true,3,3,reclaimed,30% reduction in energy use,0
Rev,8/5/2003,Dollar,City Centre,4,Kazu,4,42,false,3,2,sustainable,30% reduction in energy use,1
Honorable,8/14/2015,Rial,Central District,1,Midel,5,23,true,1,4,reclaimed,40% reduction in energy use,1
Honorable,2/11/2007,Rupiah,Town Square,1,Twinte,5,10,true,3,4,reclaimed,40% reduction in energy use,1
Dr,4/28/2017,Yuan Renminbi,Central District,1,Leenti,1,30,false,1,4,certified,40% reduction in energy use,0
Rev,7/28/2008,Euro,City Centre,1,Thoughtblab,3,60,false,2,2,reclaimed,30% reduction in energy use,0
Honorable,9/20/2011,Yuan Renminbi,Town Square,1,Yodoo,2,41,false,3,4,reclaimed,40% reduction in energy use,1
Mrs,11/23/2007,Won,Central District,5,Dabshots,1,52,true,2,3,certified,30% reduction in energy use,0
Mr,1/5/2009,Yuan Renminbi,City Centre,4,Fatz,2,46,true,2,1,reclaimed,40% reduction in energy use,1
Ms,9/20/2005,Baht,City Centre,5,Brightbean,5,10,true,2,4,certified,40% reduction in energy use,0
Mrs,2/26/2009,Ruble,Town Square,3,Oyoloo,3,10,true,3,2,certified,40% reduction in energy use,0
Rev,1/25/2016,Shilling,Central District,1,Fivechat,5,22,true,1,1,certified,40% reduction in energy use,1
Dr,10/24/2019,Real,City Centre,1,Flipbug,4,19,false,3,4,certified,30% reduction in energy use,0
Ms,1/15/2012,Lev,City Centre,4,Voomm,3,83,true,2,1,certified,40% reduction in energy use,1
Honorable,11/8/2015,Quetzal,Town Square,5,Gevee,3,10,true,1,2,reclaimed,30% reduction in energy use,0
Honorable,10/13/2021,Naira,City Centre,3,Photobug,5,94,false,2,4,certified,40% reduction in energy use,0
Rev,5/29/2001,Manat,City Centre,3,Linktype,1,71,true,2,3,sustainable,30% reduction in energy use,0
Mr,2/22/2022,Rupiah,Central District,5,Livetube,4,60,false,3,2,certified,30% reduction in energy use,0
Mr,9/18/2019,Krone,Central District,3,Gevee,1,52,true,3,4,sustainable,40% reduction in energy use,0
Rev,2/21/2017,Rupiah,Town Square,3,Jabbertype,2,88,true,2,1,reclaimed,40% reduction in energy use,1
Mr,6/4/2014,Rupee,Town Square,4,Jabbercube,4,35,false,2,3,certified,30% reduction in energy use,1
Ms,8/16/2003,Peso,City Centre,5,Kimia,4,75,false,2,4,reclaimed,30% reduction in energy use,0
Rev,12/18/2020,Dram,Town Square,3,Edgeblab,3,56,true,3,3,sustainable,30% reduction in energy use,1
Ms,5/16/2022,Zloty,City Centre,3,Mymm,3,39,false,2,2,sustainable,30% reduction in energy use,0
Ms,5/11/2001,Rupiah,Town Square,3,Zoomlounge,2,62,true,1,4,reclaimed,40% reduction in energy use,1
Dr,7/24/2014,Euro,Town Square,4,Skinix,4,42,true,1,3,reclaimed,30% reduction in energy use,1
Honorable,4/10/2001,Koruna,Central District,4,Eazzy,2,11,true,3,2,certified,40% reduction in energy use,1
Mr,8/12/2005,Ouguiya,Town Square,3,Skyndu,4,91,true,1,1,reclaimed,30% reduction in energy use,0
Honorable,8/12/2001,Sol,Central District,2,Edgeclub,4,4,true,3,4,certified,40% reduction in energy use,1
Honorable,8/7/2010,Yuan Renminbi,Central District,3,Shuffletag,4,89,false,2,4,certified,40% reduction in energy use,0
Mrs,5/18/2009,Yuan Renminbi,Central District,4,Brainsphere,4,94,true,1,1,reclaimed,40% reduction in energy use,0
Dr,3/1/2004,Ringgit,Central District,4,Realbuzz,3,73,false,2,1,reclaimed,40% reduction in energy use,0
Mr,10/23/2011,Peso,City Centre,5,Jabberbean,3,88,false,1,3,sustainable,40% reduction in energy use,0
Honorable,8/12/2003,Dollar,Town Square,2,Einti,5,15,true,2,4,sustainable,40% reduction in energy use,1
Ms,7/9/2015,Yuan Renminbi,Town Square,4,Bubblebox,2,8,false,3,4,certified,30% reduction in energy use,1
Mrs,2/17/2018,Peso,Central District,4,Centidel,5,71,true,2,2,certified,40% reduction in energy use,0
Mr,4/4/2010,Ruble,Town Square,4,Feednation,2,67,true,2,3,reclaimed,30% reduction in energy use,1
Mr,2/21/2006,Yuan Renminbi,Town Square,3,Livetube,3,76,false,3,1,certified,30% reduction in energy use,0
Dr,3/12/2022,Yuan Renminbi,Town Square,4,Abatz,1,78,true,1,2,certified,40% reduction in energy use,0
Mr,9/1/2000,Real,City Centre,5,Feedfish,4,91,false,3,3,certified,40% reduction in energy use,0
Honorable,10/30/2017,Hryvnia,Town Square,3,Divavu,1,38,false,3,4,certified,40% reduction in energy use,0
Rev,10/17/2000,Rupiah,City Centre,2,Dabvine,5,4,true,1,1,sustainable,30% reduction in energy use,1
Mr,10/24/2011,Shekel,City Centre,1,Meevee,3,53,true,1,3,certified,40% reduction in energy use,0
Dr,10/3/2001,Kuna,City Centre,2,Myworks,1,78,true,1,2,sustainable,30% reduction in energy use,1
Dr,9/27/2008,Rupiah,City Centre,5,Photobug,4,13,false,2,3,reclaimed,30% reduction in energy use,1
Rev,7/17/2004,Euro,City Centre,1,Dynabox,2,98,false,2,3,sustainable,40% reduction in energy use,0
Dr,9/19/2021,Yuan Renminbi,Central District,5,Feedmix,4,6,false,3,4,certified,40% reduction in energy use,1
Mr,2/27/2013,Rupiah,Town Square,4,Gabcube,2,51,false,3,3,reclaimed,30% reduction in energy use,0
Dr,9/15/2020,Yuan Renminbi,City Centre,4,Aibox,2,5,true,1,4,certified,30% reduction in energy use,0
Ms,12/1/2001,Dollar,Central District,5,Gevee,1,46,true,2,2,sustainable,30% reduction in energy use,1
Dr,5/24/2001,Real,Central District,3,Skyndu,3,24,false,3,4,sustainable,40% reduction in energy use,1
Honorable,11/5/2016,Yuan Renminbi,City Centre,4,Tavu,3,44,false,3,4,certified,30% reduction in energy use,1
Mr,5/24/2001,Bolivar,Central District,2,Buzzshare,4,76,false,1,2,reclaimed,40% reduction in energy use,0
Ms,3/2/2011,Real,City Centre,4,Zoonoodle,2,51,true,2,4,certified,40% reduction in energy use,1
Honorable,5/21/2023,Sol,City Centre,1,Lazz,3,2,true,3,3,sustainable,30% reduction in energy use,0
Ms,8/8/2002,Rupiah,City Centre,2,Yozio,5,58,false,1,1,sustainable,40% reduction in energy use,1
Honorable,11/30/2004,Yuan Renminbi,Central District,2,Zooxo,4,61,true,2,4,certified,40% reduction in energy use,1
Honorable,4/12/2009,Baht,City Centre,4,Zoomlounge,3,34,false,2,2,certified,40% reduction in energy use,0
Ms,10/30/2019,Yuan Renminbi,Central District,5,Vimbo,5,84,true,1,2,reclaimed,40% reduction in energy use,1
Ms,9/2/2021,Yen,Central District,4,Quire,2,31,false,1,4,sustainable,40% reduction in energy use,1
Honorable,7/9/2011,Rupiah,Central District,3,Pixope,3,57,true,1,2,certified,30% reduction in energy use,0
Honorable,6/17/2007,Baht,Central District,3,Feedspan,3,42,false,1,3,reclaimed,30% reduction in energy use,0
Dr,10/27/2015,Lempira,Town Square,4,Yodel,3,36,false,1,3,reclaimed,40% reduction in energy use,1
Dr,8/7/2019,Yuan Renminbi,City Centre,5,Dynabox,1,20,true,1,1,reclaimed,30% reduction in energy use,1
Mrs,4/1/2013,Real,Central District,4,Lazz,1,35,true,1,1,reclaimed,40% reduction in energy use,0
Dr,9/14/2002,Euro,City Centre,2,Youspan,3,57,true,1,4,reclaimed,30% reduction in energy use,1
Ms,10/12/2014,Dollar,Central District,2,Zazio,5,72,false,1,1,certified,40% reduction in energy use,0
Rev,7/14/2002,Pula,Town Square,2,Dabshots,4,35,true,2,3,certified,30% reduction in energy use,1
Mrs,9/13/2011,Dollar,City Centre,2,Kwideo,5,56,true,2,3,reclaimed,40% reduction in energy use,0
Mrs,1/27/2013,Yuan Renminbi,Central District,1,Zoonder,1,53,true,1,4,certified,30% reduction in energy use,0
Rev,8/31/2004,Yuan Renminbi,City Centre,5,Fliptune,4,34,true,1,2,reclaimed,40% reduction in energy use,1
Ms,7/14/2023,Dollar,Central District,3,Babbleset,1,13,false,2,1,reclaimed,40% reduction in energy use,0
Ms,4/30/2009,Lempira,City Centre,3,Topiclounge,3,63,true,2,4,reclaimed,40% reduction in energy use,0
Honorable,6/18/2019,Rupiah,Central District,1,Quamba,1,1,true,2,3,reclaimed,30% reduction in energy use,1
Mrs,6/25/2019,Dinar,City Centre,1,Meezzy,1,88,true,2,2,certified,30% reduction in energy use,1
Mr,5/10/2020,Ringgit,Central District,4,Roombo,1,2,false,3,2,sustainable,40% reduction in energy use,0
Rev,8/22/2002,Yuan Renminbi,City Centre,2,Yakidoo,4,27,true,1,2,reclaimed,30% reduction in energy use,0
Ms,5/15/2021,Dinar,Town Square,3,Shufflebeat,4,11,true,1,2,reclaimed,30% reduction in energy use,0
Honorable,12/8/2018,Euro,City Centre,1,Eare,2,9,false,2,3,reclaimed,30% reduction in energy use,0
Honorable,11/28/2015,Koruna,Town Square,3,Vimbo,2,86,true,3,3,certified,40% reduction in energy use,0
Mrs,7/9/2008,Euro,Town Square,3,Brightbean,3,17,true,1,1,sustainable,40% reduction in energy use,0
Dr,7/15/2014,Yuan Renminbi,City Centre,5,Myworks,1,40,true,1,4,certified,30% reduction in energy use,1
Ms,7/31/2014,Rial,Town Square,2,Nlounge,5,92,true,2,2,certified,30% reduction in energy use,0
Mrs,3/14/2018,Euro,Central District,5,Jaxnation,4,86,false,1,1,sustainable,40% reduction in energy use,1
Mr,7/29/2012,Shilling,Central District,5,Trupe,4,12,false,3,4,reclaimed,40% reduction in energy use,0
Rev,10/10/2013,Euro,Central District,3,Meemm,4,31,false,1,1,certified,40% reduction in energy use,1
Rev,2/1/2005,Yen,Town Square,4,Yoveo,4,53,false,2,2,certified,30% reduction in energy use,0
Rev,1/16/2004,Ruble,Central District,5,Ooba,4,14,false,1,1,reclaimed,40% reduction in energy use,0
Rev,11/25/2001,Lev,Central District,1,Myworks,4,5,false,3,3,certified,30% reduction in energy use,1
Dr,5/20/2011,Afghani,Central District,1,Jabbersphere,5,67,true,3,3,certified,30% reduction in energy use,1
Honorable,2/10/2014,Rupiah,Town Square,3,Edgewire,4,89,true,3,1,sustainable,30% reduction in energy use,1
Ms,3/9/2017,Ruble,Town Square,3,Yambee,5,62,false,2,1,sustainable,30% reduction in energy use,0
Mrs,11/9/2004,Dong,City Centre,3,Npath,4,29,true,1,3,reclaimed,40% reduction in energy use,1
Mr,12/31/2021,Peso,City Centre,3,Podcat,5,47,false,2,1,reclaimed,30% reduction in energy use,1
Dr,3/20/2023,Rupiah,Town Square,2,Wikivu,2,53,true,1,3,sustainable,40% reduction in energy use,0
Ms,10/21/2006,Dollar,Central District,2,Livepath,4,45,true,1,4,sustainable,30% reduction in energy use,1
Mrs,5/1/2013,Rupiah,Town Square,4,Twitterwire,2,37,false,1,3,certified,30% reduction in energy use,0
Dr,1/20/2004,Yuan Renminbi,City Centre,2,Thoughtstorm,1,32,false,1,4,reclaimed,40% reduction in energy use,0
Dr,7/14/2004,Rial,Central District,1,Midel,4,71,true,1,4,certified,40% reduction in energy use,1
Dr,5/29/2020,Yuan Renminbi,Town Square,2,InnoZ,4,76,true,3,2,reclaimed,40% reduction in energy use,0
Mrs,11/9/2001,Euro,City Centre,1,Gabspot,5,35,false,3,1,reclaimed,40% reduction in energy use,0
Mr,10/7/2019,Real,City Centre,4,Jabberbean,5,6,true,3,1,reclaimed,40% reduction in energy use,0
Dr,1/16/2010,Dinar,Town Square,3,Fatz,5,3,true,3,4,reclaimed,40% reduction in energy use,0
Rev,11/15/2014,Rupiah,Central District,1,Centidel,3,46,true,2,1,certified,40% reduction in energy use,1
Mrs,3/12/2013,Zloty,City Centre,2,Linktype,4,41,false,3,1,sustainable,30% reduction in energy use,0
Mrs,7/1/2008,Rupiah,City Centre,5,Skyble,2,86,true,3,4,reclaimed,30% reduction in energy use,0
Mrs,1/17/2000,Yuan Renminbi,City Centre,5,Wikibox,1,75,true,2,4,reclaimed,40% reduction in energy use,1
Mrs,8/26/2017,Dollar,Central District,3,Youtags,3,95,false,3,2,sustainable,40% reduction in energy use,1
Ms,10/31/2023,Yuan Renminbi,Town Square,1,Wikido,1,56,false,1,4,certified,30% reduction in energy use,0
Rev,9/24/2019,Hryvnia,City Centre,5,Avavee,4,71,true,3,4,sustainable,40% reduction in energy use,1
Ms,5/28/2016,Koruna,Town Square,4,Twitterlist,1,75,false,1,4,certified,40% reduction in energy use,1
Mrs,6/2/2013,Yuan Renminbi,Town Square,3,Skyndu,1,95,true,1,2,certified,30% reduction in energy use,0
Ms,4/5/2012,Pound,Town Square,4,Leexo,5,44,false,3,3,certified,40% reduction in energy use,1
Dr,6/4/2004,Euro,Town Square,3,Edgetag,3,96,true,1,1,sustainable,40% reduction in energy use,1
Dr,6/30/2020,Rupiah,City Centre,4,Thoughtblab,5,15,false,2,1,certified,40% reduction in energy use,0
Honorable,8/17/2002,Yuan Renminbi,City Centre,4,Tagchat,4,82,true,3,3,certified,30% reduction in energy use,1
Mrs,3/6/2011,Peso,Central District,5,Buzzster,3,99,true,1,1,reclaimed,30% reduction in energy use,0
Honorable,3/21/2022,Real,Central District,1,Babblestorm,3,76,false,1,3,certified,40% reduction in energy use,0
Mrs,4/7/2020,Peso,Town Square,4,Realbridge,2,24,false,3,2,reclaimed,30% reduction in energy use,1
Dr,10/24/2005,Yen,Central District,3,Yodo,4,19,false,1,1,reclaimed,40% reduction in energy use,1
Mrs,11/9/2003,Euro,Central District,4,Skipfire,1,0,true,2,2,sustainable,40% reduction in energy use,1
Mrs,12/31/2022,Lari,City Centre,4,Digitube,2,83,true,1,4,reclaimed,30% reduction in energy use,0
Ms,1/8/2005,Yuan Renminbi,City Centre,3,Topiczoom,5,98,false,3,4,reclaimed,40% reduction in energy use,0
Ms,2/20/2000,Yuan Renminbi,City Centre,5,Zoomzone,1,66,false,1,2,sustainable,40% reduction in energy use,1
Rev,8/25/2012,Yuan Renminbi,Central District,3,Twimbo,2,100,false,3,3,sustainable,30% reduction in energy use,0
Dr,11/25/2016,Krona,City Centre,2,Shufflebeat,4,10,true,2,4,reclaimed,40% reduction in energy use,1
Mrs,7/14/2005,Dollar,Central District,2,Fivebridge,2,86,false,3,1,reclaimed,40% reduction in energy use,0
Ms,8/31/2016,Real,Central District,5,Gabcube,5,61,false,3,4,sustainable,40% reduction in energy use,0
Mr,6/10/2009,Yuan Renminbi,Town Square,5,Mita,5,54,true,2,4,sustainable,30% reduction in energy use,1
Dr,7/18/2013,Rupiah,Town Square,2,Youfeed,4,35,false,2,4,sustainable,30% reduction in energy use,0
Mrs,1/25/2016,Ringgit,Central District,1,Gabcube,3,18,true,2,1,sustainable,40% reduction in energy use,1
Mr,3/2/2010,Taka,Town Square,1,Babbleopia,5,44,false,3,4,sustainable,40% reduction in energy use,0
Rev,11/24/2003,Bolivar,Town Square,3,Roomm,5,10,false,3,4,reclaimed,40% reduction in energy use,1
Rev,12/24/2000,Euro,Town Square,5,Twinder,4,87,false,1,4,certified,40% reduction in energy use,1
Dr,12/8/2005,Zloty,Town Square,3,Feedfire,2,23,true,2,1,certified,30% reduction in energy use,1
Mr,11/30/2006,Real,Town Square,3,Topicstorm,4,72,true,2,4,certified,30% reduction in energy use,0
Honorable,6/18/2010,Peso,Town Square,1,Npath,1,3,false,3,4,certified,40% reduction in energy use,0
Honorable,8/25/2004,Manat,Central District,4,Rhynoodle,5,88,false,1,1,reclaimed,40% reduction in energy use,1
Mrs,8/8/2018,Rupiah,Central District,3,Gabcube,5,90,true,1,3,certified,30% reduction in energy use,1
Mrs,7/16/2018,Yuan Renminbi,Central District,5,Gigashots,5,66,false,1,3,reclaimed,40% reduction in energy use,0
Dr,1/4/2008,Yen,City Centre,4,Yombu,5,60,false,2,2,reclaimed,30% reduction in energy use,1
Ms,9/30/2022,Yuan Renminbi,City Centre,3,Twinder,3,99,true,1,4,sustainable,30% reduction in energy use,1
Ms,5/18/2008,Peso,Town Square,1,Eayo,5,100,false,3,3,sustainable,30% reduction in energy use,0
Mrs,2/22/2016,Baht,Town Square,2,Buzzdog,3,91,true,3,3,certified,30% reduction in energy use,1
Rev,6/13/2003,Shilling,Central District,1,Yamia,2,30,false,2,4,reclaimed,30% reduction in energy use,1
Mr,10/20/2014,Pound,City Centre,3,Innojam,1,41,false,3,3,certified,30% reduction in energy use,0
Honorable,7/17/2008,Peso,City Centre,3,Buzzshare,1,72,true,3,2,certified,40% reduction in energy use,1
Mr,6/10/2008,Euro,Central District,1,Dynava,4,67,false,1,2,sustainable,30% reduction in energy use,1
Dr,9/2/2022,Yuan Renminbi,City Centre,2,Feedfish,4,23,true,3,2,certified,40% reduction in energy use,1
Honorable,9/10/2012,Yen,City Centre,3,Linkbuzz,3,89,false,1,3,certified,30% reduction in energy use,1
Ms,8/8/2006,Euro,Central District,5,Oyope,2,34,true,3,1,reclaimed,40% reduction in energy use,0
Honorable,5/6/2008,Franc,Central District,3,Devbug,2,90,true,2,2,sustainable,40% reduction in energy use,1
Honorable,4/11/2010,Yuan Renminbi,Central District,2,Photobug,3,86,false,2,4,reclaimed,40% reduction in energy use,1
Honorable,5/19/2007,Bolivar,City Centre,2,Tambee,5,82,false,3,2,reclaimed,30% reduction in energy use,1
Mr,11/14/2018,Ruble,Central District,1,Rhyzio,4,28,true,2,4,sustainable,40% reduction in energy use,0
Rev,2/18/2012,Yuan Renminbi,City Centre,1,Rhynyx,1,46,false,3,2,sustainable,40% reduction in energy use,1
Mr,10/20/2019,Yuan Renminbi,Central District,2,Rhynoodle,1,15,true,1,2,reclaimed,40% reduction in energy use,1
Mr,5/7/2013,Euro,Central District,3,Photobug,4,89,false,1,4,reclaimed,30% reduction in energy use,1
Rev,11/18/2005,Ruble,City Centre,1,Kimia,3,92,true,1,4,reclaimed,40% reduction in energy use,0
Ms,8/27/2018,Cordoba,City Centre,5,Zoonoodle,5,50,false,3,4,reclaimed,30% reduction in energy use,0
Mrs,3/17/2018,Peso,Central District,2,Edgetag,2,30,true,2,4,sustainable,40% reduction in energy use,1
Ms,11/25/2018,Dollar,Town Square,4,JumpXS,2,22,true,1,3,reclaimed,30% reduction in energy use,1
Mr,12/14/2004,Rand,Town Square,1,Dabjam,5,44,false,2,4,sustainable,30% reduction in energy use,0
Rev,11/3/2002,Rupiah,Town Square,1,Flashpoint,4,3,false,1,4,sustainable,40% reduction in energy use,0
Rev,2/22/2001,Rupiah,Town Square,5,Centizu,2,88,false,1,2,reclaimed,30% reduction in energy use,0
Mr,7/4/2023,Shilling,Central District,3,Bluejam,3,11,false,1,4,sustainable,30% reduction in energy use,1
Ms,7/19/2017,Peso,City Centre,2,Jaloo,3,63,false,2,2,sustainable,40% reduction in energy use,0
Dr,6/22/2017,Won,Central District,3,Brainsphere,3,5,true,1,2,reclaimed,40% reduction in energy use,1
Rev,2/20/2011,Real,City Centre,1,Latz,5,2,true,1,2,reclaimed,30% reduction in energy use,0
Ms,6/6/2008,Yuan Renminbi,Town Square,5,Vidoo,2,26,false,2,2,certified,30% reduction in energy use,1
Honorable,9/20/2011,Euro,Central District,5,Wikizz,5,54,false,2,4,certified,30% reduction in energy use,0
Rev,2/23/2022,Euro,Town Square,4,Thoughtstorm,4,23,true,2,4,certified,30% reduction in energy use,0
Honorable,2/22/2023,Peso,Town Square,1,Meevee,5,96,false,3,2,reclaimed,40% reduction in energy use,1
Mrs,11/4/2007,Real,Town Square,2,Lajo,1,39,false,1,1,sustainable,40% reduction in energy use,0
Rev,5/7/2019,Denar,Central District,2,Tazzy,3,13,true,1,3,certified,40% reduction in energy use,1
Mrs,8/5/2010,Dollar,City Centre,4,Kwimbee,1,100,true,2,1,sustainable,40% reduction in energy use,1
Mr,6/18/2010,Real,Town Square,3,Blogtags,2,36,true,1,1,certified,40% reduction in energy use,1
Mr,1/18/2017,Shilling,Town Square,4,Realfire,4,54,false,2,3,certified,40% reduction in energy use,1
Mrs,8/1/2008,Yuan Renminbi,City Centre,5,Feednation,2,63,true,2,1,certified,40% reduction in energy use,0
Mrs,1/5/2004,Euro,Central District,2,Tagtune,4,52,true,1,3,reclaimed,40% reduction in energy use,1
Honorable,7/23/2004,Ruble,City Centre,2,Meevee,4,86,false,2,4,sustainable,30% reduction in energy use,1
Rev,8/15/2000,Dollar,City Centre,1,Trudoo,4,45,false,3,1,certified,40% reduction in energy use,0
Honorable,1/4/2009,Kuna,Central District,2,Centizu,1,71,true,3,3,certified,40% reduction in energy use,1
