# CSV-File created with merge-csv.com
# -----------------------------------------------------------

ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Sustainable Library,3/23/2018,27641553,Rainwater harvesting,Central District,LEED Certified,Eco-Friendly Designs,LEED,11/11/2023,63,Limited,high-efficiency,recycled,40% reduction in energy use,true
Sustainable Library,12/7/2009,36681422,Renewable energy sources,Metropolitan Area,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,10/11/2023,69,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Green Office Building,8/13/2006,97904487,Energy-efficient design,Town Square,LEED Gold,Green Architects Inc.,Green Globes,2/18/2024,21,Limited,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,1/20/2008,73746493,Energy-efficient design,Downtown,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,10/31/2023,44,Limited,low-flow,certified,40% reduction in energy use,false
Eco Elementary School,12/7/2007,86976645,Green roof,Town Square,LEED Silver,Eco-Friendly Designs,Green Globes,10/8/2023,98,No,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,9/21/2013,10195851,Green roof,Town Square,LEED Gold,Sustainable Builders,LEED,8/1/2023,1,Limited,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,7/1/2018,26350019,Green roof,Town Square,LEED Platinum,Green Building Solutions,LEED,10/7/2023,83,Limited,high-efficiency,reclaimed,25% reduction in energy use,false
Eco Elementary School,5/21/2021,4543720,Renewable energy sources,Central District,LEED Silver,Green Architects Inc.,LEED,10/11/2023,57,Yes,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,3/10/2009,36882690,Renewable energy sources,Downtown,LEED Gold,Eco-Friendly Designs,LEED,2/9/2024,86,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,4/20/2022,99366036,Renewable energy sources,Metropolitan Area,LEED Gold,Green Building Solutions,LEED,1/13/2024,31,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,9/24/2008,97957065,LEED Platinum certified,Central District,LEED Silver,Sustainable Builders,ISO 14001,2/29/2024,26,No,low-flow,certified,40% reduction in energy use,false
Green Office Building,3/27/2011,21077402,Renewable energy sources,Metropolitan Area,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,2/24/2024,76,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,9/23/2016,86527077,Green roof,Central District,LEED Silver,Green Architects Inc.,LEED,6/13/2023,77,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,3/19/2018,35548388,Green roof,Downtown,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,1/16/2024,72,Yes,low-flow,certified,40% reduction in energy use,true
Sustainable Library,5/27/2013,57826771,Green roof,Downtown,LEED Gold,Sustainable Builders,LEED,7/20/2023,1,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,2/3/2019,80842288,Energy-efficient design,Downtown,LEED Certified,Sustainable Builders,ENERGY STAR Certified,10/22/2023,32,Limited,low-flow,local,40% reduction in energy use,true
Green Office Building,4/25/2012,86208463,Renewable energy sources,Downtown,LEED Silver,EcoBuild Constructions,Green Globes,7/29/2023,17,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,10/7/2018,95412960,LEED Platinum certified,City Centre,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,10/14/2023,62,Limited,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,4/28/2009,58838044,LEED Platinum certified,Central District,LEED Certified,Green Building Solutions,ENERGY STAR Certified,1/24/2024,82,Limited,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,10/6/2007,46619004,Rainwater harvesting,City Centre,LEED Gold,Green Architects Inc.,ENERGY STAR Certified,2/16/2024,97,Yes,high-efficiency,local,40% reduction in energy use,true
Green Office Building,3/2/2006,23510454,Renewable energy sources,Downtown,LEED Certified,Green Architects Inc.,Green Globes,1/27/2024,5,Limited,high-efficiency,recycled,25% reduction in energy use,true
Sustainable Library,3/27/2013,18926981,Energy-efficient design,Town Square,LEED Certified,EcoBuild Constructions,LEED,12/20/2023,87,Yes,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,12/23/2012,62356531,Energy-efficient design,City Centre,LEED Silver,Eco-Friendly Designs,LEED,2/8/2024,4,No,low-flow,certified,40% reduction in energy use,true
Green Office Building,10/24/2007,44518250,LEED Platinum certified,Metropolitan Area,LEED Certified,Sustainable Builders,ISO 14001,6/13/2023,6,Yes,low-flow,certified,25% reduction in energy use,false
Sustainable Library,2/13/2019,29778593,Energy-efficient design,City Centre,LEED Certified,Green Architects Inc.,LEED,7/16/2023,88,Yes,low-flow,local,30% reduction in energy use,false
Eco Elementary School,5/8/2008,93872314,Renewable energy sources,City Centre,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,1/13/2024,18,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,2/7/2008,19780942,Green roof,Downtown,LEED Silver,Eco-Friendly Designs,LEED,2/18/2024,31,Limited,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,7/26/2014,47258159,LEED Platinum certified,City Centre,LEED Certified,EcoBuild Constructions,LEED,1/2/2024,56,No,low-flow,reclaimed,30% reduction in energy use,true
Green Office Building,1/9/2014,38732959,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,6/19/2023,68,Yes,low-flow,certified,25% reduction in energy use,false
Green Office Building,7/29/2007,28676972,Green roof,Downtown,LEED Gold,Green Building Solutions,ENERGY STAR Certified,1/15/2024,24,Yes,low-flow,certified,40% reduction in energy use,false
Green Office Building,5/28/2008,52299967,Green roof,Downtown,LEED Silver,Green Building Solutions,ENERGY STAR Certified,9/9/2023,65,Yes,low-flow,sustainable,25% reduction in energy use,false
Green Office Building,6/23/2008,26987610,Energy-efficient design,Town Square,LEED Silver,EcoBuild Constructions,LEED,7/11/2023,15,Yes,high-efficiency,reclaimed,30% reduction in energy use,true
Green Office Building,10/8/2019,16832757,Green roof,Central District,Not Applicable,Green Building Solutions,ENERGY STAR Certified,7/26/2023,17,Yes,low-flow,local,40% reduction in energy use,false
Eco Elementary School,4/17/2015,21164039,Energy-efficient design,Town Square,LEED Gold,EcoBuild Constructions,LEED,9/29/2023,40,Limited,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,1/29/2019,75658377,Energy-efficient design,Metropolitan Area,LEED Gold,Eco-Friendly Designs,LEED,5/26/2023,39,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,11/11/2014,86080486,Renewable energy sources,Town Square,LEED Silver,Eco-Friendly Designs,Green Globes,12/12/2023,81,Yes,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,3/29/2011,39055627,Energy-efficient design,Metropolitan Area,LEED Silver,Sustainable Builders,Green Globes,11/27/2023,26,Limited,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,11/19/2007,54580645,Renewable energy sources,City Centre,LEED Gold,Eco-Friendly Designs,ENERGY STAR Certified,12/8/2023,55,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Sustainable Library,9/13/2022,81253607,Rainwater harvesting,Central District,LEED Certified,Eco-Friendly Designs,LEED,6/18/2023,30,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,10/28/2005,78581005,Rainwater harvesting,Central District,LEED Silver,Sustainable Builders,LEED,9/3/2023,54,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,5/7/2019,5544023,LEED Platinum certified,Metropolitan Area,Not Applicable,Eco-Friendly Designs,Green Globes,12/16/2023,88,No,low-flow,sustainable,30% reduction in energy use,true
Green Office Building,11/30/2019,5645565,Renewable energy sources,City Centre,LEED Silver,Sustainable Builders,Green Globes,10/29/2023,99,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,2/14/2006,86748767,LEED Platinum certified,Metropolitan Area,LEED Platinum,Eco-Friendly Designs,Green Globes,11/17/2023,54,Limited,low-flow,certified,30% reduction in energy use,true
Sustainable Library,5/20/2021,16379484,Energy-efficient design,Downtown,LEED Silver,EcoBuild Constructions,LEED,1/30/2024,32,No,high-efficiency,local,40% reduction in energy use,true
Green Office Building,6/22/2009,13259930,Rainwater harvesting,Downtown,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,12/13/2023,100,Limited,high-efficiency,certified,25% reduction in energy use,true
Green Office Building,3/20/2011,70500385,Green roof,Town Square,LEED Silver,Green Architects Inc.,ENERGY STAR Certified,6/4/2023,12,Yes,high-efficiency,local,30% reduction in energy use,false
Eco Elementary School,2/8/2006,73204404,Green roof,Central District,Not Applicable,EcoBuild Constructions,ENERGY STAR Certified,10/17/2023,99,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,1/9/2020,18081943,Energy-efficient design,Downtown,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,7/15/2023,1,Yes,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,5/12/2013,11178176,LEED Platinum certified,Downtown,Not Applicable,Sustainable Builders,LEED,2/25/2024,75,Limited,low-flow,reclaimed,30% reduction in energy use,false
Eco Elementary School,8/22/2012,40630628,LEED Platinum certified,City Centre,LEED Platinum,Green Building Solutions,ISO 14001,2/21/2024,73,Limited,low-flow,sustainable,30% reduction in energy use,false
Sustainable Library,6/14/2015,34839516,Energy-efficient design,Metropolitan Area,LEED Silver,EcoBuild Constructions,LEED,1/12/2024,24,No,low-flow,local,25% reduction in energy use,true
Sustainable Library,8/5/2011,73835462,Green roof,City Centre,LEED Certified,Sustainable Builders,LEED,6/5/2023,16,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,12/7/2020,31546807,Rainwater harvesting,Town Square,LEED Silver,Green Architects Inc.,ENERGY STAR Certified,11/18/2023,78,Yes,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,1/9/2008,64271900,Rainwater harvesting,City Centre,LEED Certified,EcoBuild Constructions,LEED,1/22/2024,13,Limited,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,8/29/2016,77149041,Green roof,City Centre,LEED Gold,Green Architects Inc.,ENERGY STAR Certified,12/22/2023,28,No,low-flow,local,40% reduction in energy use,true
Sustainable Library,10/10/2017,60147726,Green roof,City Centre,Not Applicable,Green Architects Inc.,LEED,11/10/2023,23,No,low-flow,local,40% reduction in energy use,true
Green Office Building,3/21/2015,91224420,Green roof,Town Square,LEED Gold,Sustainable Builders,Green Globes,6/6/2023,69,Yes,high-efficiency,certified,30% reduction in energy use,false
Green Office Building,12/27/2019,94815821,Renewable energy sources,Downtown,LEED Silver,Green Architects Inc.,ISO 14001,2/19/2024,90,No,low-flow,certified,30% reduction in energy use,false
Eco Elementary School,4/28/2020,36583157,Green roof,Central District,LEED Certified,EcoBuild Constructions,LEED,8/23/2023,22,No,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,9/4/2013,31041481,Green roof,Town Square,LEED Gold,EcoBuild Constructions,ISO 14001,1/15/2024,72,Yes,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,5/14/2014,17804803,Green roof,Metropolitan Area,LEED Silver,Sustainable Builders,LEED,5/18/2023,31,Yes,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,8/30/2014,31617391,Energy-efficient design,Town Square,LEED Silver,Eco-Friendly Designs,LEED,5/24/2023,28,Yes,high-efficiency,local,30% reduction in energy use,true
Sustainable Library,7/21/2019,83617002,Green roof,Central District,LEED Silver,Green Building Solutions,LEED,12/24/2023,20,Yes,high-efficiency,reclaimed,40% reduction in energy use,false
Sustainable Library,5/6/2015,18636776,Green roof,City Centre,LEED Silver,EcoBuild Constructions,Green Globes,1/8/2024,13,Yes,low-flow,certified,30% reduction in energy use,false
Green Office Building,7/26/2015,58880171,Rainwater harvesting,City Centre,LEED Certified,EcoBuild Constructions,Green Globes,10/7/2023,5,Limited,low-flow,certified,25% reduction in energy use,false
Green Office Building,9/17/2015,88189086,Renewable energy sources,City Centre,LEED Silver,Sustainable Builders,LEED,9/26/2023,61,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,12/17/2016,7980043,LEED Platinum certified,Metropolitan Area,LEED Certified,EcoBuild Constructions,LEED,11/12/2023,62,Yes,high-efficiency,local,25% reduction in energy use,true
Sustainable Library,9/3/2012,88009384,Green roof,City Centre,Not Applicable,Sustainable Builders,LEED,9/26/2023,3,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,1/17/2009,68449784,Rainwater harvesting,Central District,LEED Gold,Green Architects Inc.,LEED,7/9/2023,29,Limited,low-flow,certified,40% reduction in energy use,true
Green Office Building,8/30/2010,343411,Renewable energy sources,City Centre,LEED Certified,EcoBuild Constructions,LEED,2/17/2024,38,Yes,low-flow,reclaimed,30% reduction in energy use,false
Green Office Building,9/25/2011,56388494,Green roof,Town Square,LEED Certified,Sustainable Builders,ISO 14001,8/25/2023,83,No,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,11/23/2009,6614281,LEED Platinum certified,Central District,LEED Gold,Green Architects Inc.,ENERGY STAR Certified,7/28/2023,96,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Green Office Building,2/4/2015,5618708,Renewable energy sources,Metropolitan Area,LEED Gold,Green Building Solutions,ISO 14001,6/6/2023,28,Yes,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,10/1/2006,82342065,Renewable energy sources,City Centre,LEED Silver,Green Architects Inc.,LEED,5/16/2023,65,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,1/18/2017,56049334,Renewable energy sources,Town Square,LEED Certified,Eco-Friendly Designs,ISO 14001,7/5/2023,1,Limited,low-flow,certified,40% reduction in energy use,false
Sustainable Library,2/28/2017,13204521,Green roof,City Centre,LEED Silver,Sustainable Builders,ENERGY STAR Certified,6/21/2023,81,Limited,high-efficiency,local,40% reduction in energy use,false
Green Office Building,9/19/2019,45900886,Renewable energy sources,Downtown,LEED Gold,Green Building Solutions,LEED,5/26/2023,20,Limited,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,4/8/2016,77798796,Energy-efficient design,Metropolitan Area,Not Applicable,Green Architects Inc.,LEED,11/9/2023,36,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Sustainable Library,12/23/2005,41227599,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Building Solutions,LEED,10/19/2023,38,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,6/4/2016,45035281,Rainwater harvesting,City Centre,LEED Silver,Eco-Friendly Designs,LEED,6/11/2023,51,No,high-efficiency,sustainable,30% reduction in energy use,true
Eco Elementary School,2/22/2011,37272688,LEED Platinum certified,Town Square,LEED Platinum,Green Building Solutions,LEED,5/15/2023,22,Yes,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,1/15/2013,88964847,Green roof,Central District,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,8/25/2023,27,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,12/29/2021,95476447,Green roof,Metropolitan Area,LEED Silver,Green Architects Inc.,LEED,6/2/2023,76,Yes,low-flow,sustainable,40% reduction in energy use,false
Green Office Building,1/2/2016,64838511,LEED Platinum certified,Central District,LEED Silver,EcoBuild Constructions,LEED,7/7/2023,70,Yes,low-flow,sustainable,30% reduction in energy use,false
Sustainable Library,1/2/2017,81721879,Rainwater harvesting,City Centre,LEED Certified,EcoBuild Constructions,LEED,10/14/2023,41,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,7/26/2016,41191069,Renewable energy sources,City Centre,LEED Certified,Eco-Friendly Designs,LEED,2/24/2024,55,Yes,high-efficiency,reclaimed,30% reduction in energy use,true
Green Office Building,4/6/2018,32031390,Renewable energy sources,Metropolitan Area,LEED Certified,Sustainable Builders,ENERGY STAR Certified,8/2/2023,24,No,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,6/6/2014,46855162,Energy-efficient design,Metropolitan Area,Not Applicable,EcoBuild Constructions,LEED,11/28/2023,56,Yes,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,11/27/2022,1033693,LEED Platinum certified,Town Square,LEED Certified,Green Architects Inc.,ISO 14001,2/29/2024,10,Yes,low-flow,certified,30% reduction in energy use,true
Sustainable Library,4/8/2015,64725743,Rainwater harvesting,Downtown,LEED Silver,Green Building Solutions,ENERGY STAR Certified,2/23/2024,5,Yes,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,1/24/2013,48361737,LEED Platinum certified,Town Square,LEED Gold,Green Building Solutions,LEED,1/12/2024,49,Yes,low-flow,reclaimed,30% reduction in energy use,true
Eco Elementary School,11/26/2010,52804500,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Building Solutions,ISO 14001,12/4/2023,33,Yes,high-efficiency,recycled,30% reduction in energy use,false
Green Office Building,8/25/2021,32221658,Energy-efficient design,Town Square,LEED Certified,Green Architects Inc.,LEED,8/21/2023,12,No,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,5/3/2015,96911940,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Building Solutions,LEED,2/17/2024,9,No,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,3/17/2015,12992961,Renewable energy sources,Town Square,Not Applicable,Green Building Solutions,LEED,5/17/2023,67,Yes,low-flow,certified,40% reduction in energy use,false
Sustainable Library,1/3/2019,48409751,Energy-efficient design,Metropolitan Area,LEED Certified,EcoBuild Constructions,Green Globes,1/21/2024,1,Yes,low-flow,recycled,40% reduction in energy use,true
Green Office Building,1/25/2017,73055373,Green roof,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,10/6/2023,45,Yes,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,2/4/2015,26689518,Rainwater harvesting,Metropolitan Area,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,3/4/2024,50,Yes,low-flow,certified,40% reduction in energy use,true
Eco Elementary School,3/22/2006,78215180,Renewable energy sources,City Centre,LEED Gold,Green Building Solutions,LEED,8/15/2023,58,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,11/12/2020,64914046,LEED Platinum certified,City Centre,LEED Silver,EcoBuild Constructions,LEED,8/1/2023,7,Limited,low-flow,certified,40% reduction in energy use,false
Sustainable Library,10/25/2008,50453788,Green roof,Central District,Not Applicable,Green Architects Inc.,LEED,9/6/2023,9,No,low-flow,certified,25% reduction in energy use,false
Eco Elementary School,9/5/2011,93540716,Green roof,Central District,LEED Certified,Green Architects Inc.,LEED,11/18/2023,86,Yes,high-efficiency,reclaimed,25% reduction in energy use,false
Green Office Building,3/12/2021,21748428,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Building Solutions,LEED,10/25/2023,43,Yes,low-flow,reclaimed,30% reduction in energy use,false
Sustainable Library,11/3/2005,20597823,Renewable energy sources,Downtown,LEED Silver,Eco-Friendly Designs,LEED,7/22/2023,24,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,4/25/2015,45093750,Energy-efficient design,Town Square,LEED Silver,Eco-Friendly Designs,LEED,1/15/2024,28,No,low-flow,certified,30% reduction in energy use,false
Sustainable Library,9/10/2009,21545119,Renewable energy sources,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,2/4/2024,55,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,10/8/2021,53586302,Renewable energy sources,Central District,Not Applicable,Sustainable Builders,ISO 14001,7/20/2023,79,No,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,8/7/2020,9880709,LEED Platinum certified,Town Square,Not Applicable,EcoBuild Constructions,ENERGY STAR Certified,11/4/2023,54,Yes,low-flow,certified,40% reduction in energy use,true
Sustainable Library,10/31/2019,57709605,LEED Platinum certified,Metropolitan Area,LEED Gold,Sustainable Builders,ISO 14001,8/10/2023,48,Yes,low-flow,sustainable,40% reduction in energy use,false
Green Office Building,1/28/2023,37065165,LEED Platinum certified,City Centre,LEED Certified,Sustainable Builders,LEED,12/28/2023,89,No,low-flow,reclaimed,30% reduction in energy use,false
Eco Elementary School,11/5/2019,77324072,Rainwater harvesting,City Centre,LEED Silver,Green Architects Inc.,ENERGY STAR Certified,10/19/2023,65,No,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,7/21/2013,7646368,LEED Platinum certified,Town Square,LEED Gold,Green Building Solutions,LEED,11/10/2023,88,Yes,high-efficiency,certified,25% reduction in energy use,true
Sustainable Library,4/30/2019,89788481,Renewable energy sources,Metropolitan Area,LEED Certified,Sustainable Builders,ENERGY STAR Certified,2/13/2024,6,No,low-flow,reclaimed,25% reduction in energy use,false
Sustainable Library,1/28/2007,82826235,LEED Platinum certified,Central District,LEED Certified,Green Architects Inc.,LEED,11/11/2023,6,Yes,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,9/20/2016,97023574,Green roof,Metropolitan Area,LEED Certified,Sustainable Builders,LEED,5/17/2023,37,Yes,low-flow,certified,30% reduction in energy use,false
Green Office Building,7/21/2010,57988259,Rainwater harvesting,Town Square,LEED Certified,Green Architects Inc.,LEED,9/7/2023,47,No,low-flow,certified,30% reduction in energy use,true
