ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Eco Elementary School,10/17/2006,5586606,LEED Platinum certified,Central District,LEED Silver,Green Architects Inc.,LEED,8/24/2023,69,No,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,1/16/2009,59821273,Rainwater harvesting,Central District,LEED Silver,Eco-Friendly Designs,LEED,5/28/2023,50,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Eco Elementary School,1/24/2013,35151778,Rainwater harvesting,Central District,LEED Gold,Eco-Friendly Designs,LEED,6/26/2023,8,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,7/29/2021,58793623,Rainwater harvesting,Downtown,LEED Certified,Green Architects Inc.,Green Globes,1/6/2024,77,Yes,low-flow,sustainable,25% reduction in energy use,true
Green Office Building,1/23/2020,17314277,Energy-efficient design,Downtown,LEED Gold,Green Architects Inc.,LEED,8/20/2023,26,Yes,low-flow,recycled,25% reduction in energy use,false
Sustainable Library,6/24/2008,87092658,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Building Solutions,ENERGY STAR Certified,8/8/2023,83,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,2/29/2020,48755547,Rainwater harvesting,Downtown,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,1/28/2024,29,No,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,3/9/2008,65172795,Green roof,Metropolitan Area,LEED Silver,EcoBuild Constructions,LEED,12/22/2023,44,No,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,1/9/2015,52615648,Renewable energy sources,Metropolitan Area,LEED Gold,Green Building Solutions,LEED,2/12/2024,60,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,5/16/2015,31188632,Renewable energy sources,Central District,LEED Silver,Green Architects Inc.,Green Globes,1/17/2024,50,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,1/27/2021,18094493,Green roof,City Centre,LEED Silver,Sustainable Builders,ENERGY STAR Certified,12/7/2023,15,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,7/28/2009,49568145,Energy-efficient design,Town Square,Not Applicable,Green Building Solutions,ENERGY STAR Certified,9/7/2023,89,Limited,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,5/29/2018,15816045,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Building Solutions,LEED,7/15/2023,74,No,low-flow,sustainable,30% reduction in energy use,false
Green Office Building,8/17/2017,22185054,Energy-efficient design,City Centre,LEED Certified,Green Architects Inc.,LEED,6/26/2023,91,Limited,high-efficiency,local,40% reduction in energy use,true
Eco Elementary School,7/26/2020,48984249,LEED Platinum certified,City Centre,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,9/29/2023,24,Limited,low-flow,reclaimed,40% reduction in energy use,false
Green Office Building,9/26/2009,8434741,Energy-efficient design,City Centre,LEED Silver,Green Building Solutions,LEED,7/6/2023,79,Limited,low-flow,sustainable,40% reduction in energy use,false
Green Office Building,4/3/2015,48029181,Energy-efficient design,Downtown,LEED Certified,Green Building Solutions,LEED,7/8/2023,11,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Green Office Building,5/17/2023,67385321,Renewable energy sources,Town Square,LEED Certified,Sustainable Builders,LEED,7/11/2023,17,No,low-flow,sustainable,30% reduction in energy use,true
Eco Elementary School,8/21/2022,41640883,Energy-efficient design,Metropolitan Area,LEED Certified,Sustainable Builders,Green Globes,9/12/2023,72,No,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,7/9/2023,69843725,Energy-efficient design,City Centre,Not Applicable,Eco-Friendly Designs,LEED,1/12/2024,27,No,high-efficiency,local,25% reduction in energy use,false
Sustainable Library,1/4/2007,68070053,LEED Platinum certified,Town Square,LEED Certified,Green Building Solutions,ENERGY STAR Certified,10/25/2023,26,Yes,high-efficiency,local,30% reduction in energy use,true
Green Office Building,5/19/2020,84864161,LEED Platinum certified,Town Square,LEED Certified,Sustainable Builders,LEED,10/1/2023,26,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Green Office Building,11/2/2009,55414158,Renewable energy sources,Downtown,LEED Gold,Sustainable Builders,LEED,2/1/2024,51,Yes,low-flow,reclaimed,30% reduction in energy use,true
Green Office Building,3/26/2011,99077488,Rainwater harvesting,Downtown,LEED Gold,Sustainable Builders,ENERGY STAR Certified,11/22/2023,15,No,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,9/15/2009,1844894,Energy-efficient design,Central District,LEED Gold,Eco-Friendly Designs,ISO 14001,7/25/2023,64,Yes,low-flow,recycled,40% reduction in energy use,true
Eco Elementary School,9/8/2010,57550152,LEED Platinum certified,Town Square,LEED Gold,Green Building Solutions,LEED,9/12/2023,14,Limited,high-efficiency,sustainable,30% reduction in energy use,false
Sustainable Library,1/22/2019,53821710,Energy-efficient design,City Centre,LEED Silver,Eco-Friendly Designs,LEED,1/9/2024,33,Limited,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,3/18/2014,99475628,Green roof,Central District,LEED Silver,Sustainable Builders,LEED,10/25/2023,19,Yes,low-flow,recycled,40% reduction in energy use,true
Green Office Building,4/4/2022,4490920,Renewable energy sources,Metropolitan Area,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,12/16/2023,10,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Green Office Building,1/8/2008,98372459,LEED Platinum certified,Central District,Not Applicable,EcoBuild Constructions,LEED,9/22/2023,14,No,low-flow,local,30% reduction in energy use,true
Green Office Building,10/1/2018,4024732,Green roof,City Centre,LEED Silver,Green Architects Inc.,LEED,1/1/2024,99,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Sustainable Library,4/3/2012,62883485,Green roof,Metropolitan Area,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,9/7/2023,54,Limited,low-flow,local,30% reduction in energy use,false
Sustainable Library,3/23/2008,67796835,Rainwater harvesting,Central District,LEED Silver,Eco-Friendly Designs,LEED,2/23/2024,19,Limited,low-flow,local,40% reduction in energy use,false
Green Office Building,6/22/2016,51460653,LEED Platinum certified,Downtown,LEED Gold,Green Building Solutions,LEED,8/10/2023,37,Limited,low-flow,certified,40% reduction in energy use,false
Green Office Building,2/12/2015,75660648,Green roof,Metropolitan Area,LEED Silver,Green Building Solutions,LEED,8/23/2023,76,No,low-flow,certified,30% reduction in energy use,false
Eco Elementary School,4/15/2007,82247797,Energy-efficient design,Town Square,LEED Platinum,EcoBuild Constructions,ENERGY STAR Certified,2/14/2024,83,Yes,low-flow,sustainable,40% reduction in energy use,true
Green Office Building,10/31/2015,86475987,Green roof,City Centre,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,12/14/2023,78,Limited,low-flow,local,30% reduction in energy use,false
Eco Elementary School,3/30/2017,80291299,Rainwater harvesting,Central District,LEED Silver,Green Architects Inc.,LEED,7/11/2023,63,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Eco Elementary School,12/6/2020,94332750,Renewable energy sources,City Centre,LEED Silver,Sustainable Builders,ENERGY STAR Certified,10/8/2023,30,Limited,high-efficiency,certified,30% reduction in energy use,true
Eco Elementary School,3/19/2009,43330673,Green roof,Central District,LEED Silver,Sustainable Builders,LEED,10/8/2023,70,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,6/13/2007,60632244,Green roof,Downtown,LEED Certified,Eco-Friendly Designs,Green Globes,2/3/2024,36,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Green Office Building,9/15/2017,66738864,LEED Platinum certified,City Centre,LEED Gold,Eco-Friendly Designs,LEED,12/19/2023,85,Limited,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,9/7/2021,42427668,Energy-efficient design,Downtown,LEED Certified,EcoBuild Constructions,Green Globes,1/30/2024,1,Yes,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,3/12/2006,82853724,LEED Platinum certified,Metropolitan Area,LEED Certified,EcoBuild Constructions,LEED,7/14/2023,61,Yes,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,11/28/2009,66338533,Renewable energy sources,Downtown,LEED Gold,EcoBuild Constructions,LEED,5/25/2023,21,Limited,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,1/14/2022,62695378,LEED Platinum certified,Metropolitan Area,LEED Certified,Sustainable Builders,ENERGY STAR Certified,7/31/2023,9,No,high-efficiency,recycled,40% reduction in energy use,true
Eco Elementary School,8/29/2023,16218117,LEED Platinum certified,City Centre,LEED Certified,Sustainable Builders,ISO 14001,12/29/2023,21,Yes,high-efficiency,certified,25% reduction in energy use,false
Eco Elementary School,1/28/2007,52926900,LEED Platinum certified,Downtown,LEED Platinum,Eco-Friendly Designs,LEED,7/29/2023,53,Limited,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,3/13/2022,79016262,Rainwater harvesting,Central District,LEED Certified,Sustainable Builders,LEED,8/23/2023,29,Yes,low-flow,reclaimed,30% reduction in energy use,true
Green Office Building,5/22/2010,2322621,Green roof,Metropolitan Area,LEED Silver,Green Architects Inc.,LEED,12/16/2023,87,Limited,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,9/19/2010,63357130,Green roof,Town Square,Not Applicable,Sustainable Builders,LEED,10/12/2023,51,Yes,low-flow,sustainable,30% reduction in energy use,false
Sustainable Library,8/12/2023,34759681,Rainwater harvesting,City Centre,LEED Certified,Green Architects Inc.,LEED,7/2/2023,75,Limited,low-flow,reclaimed,30% reduction in energy use,false
Sustainable Library,2/14/2021,87691725,LEED Platinum certified,Central District,LEED Gold,Green Building Solutions,LEED,7/1/2023,89,Yes,high-efficiency,certified,25% reduction in energy use,false
Eco Elementary School,5/2/2015,6800422,Renewable energy sources,Central District,LEED Silver,Green Building Solutions,LEED,1/20/2024,8,No,low-flow,certified,40% reduction in energy use,false
Sustainable Library,8/12/2021,7353901,Green roof,Central District,LEED Certified,Green Architects Inc.,LEED,6/26/2023,12,No,low-flow,certified,40% reduction in energy use,true
Green Office Building,1/10/2021,10485959,Energy-efficient design,Town Square,LEED Certified,Green Building Solutions,LEED,6/17/2023,23,Yes,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,2/20/2017,91058751,Green roof,City Centre,LEED Silver,Green Architects Inc.,LEED,7/3/2023,73,No,high-efficiency,certified,30% reduction in energy use,false
Eco Elementary School,3/1/2019,61190832,LEED Platinum certified,Town Square,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,1/3/2024,99,Yes,high-efficiency,reclaimed,30% reduction in energy use,false
Green Office Building,10/18/2016,55037302,Renewable energy sources,Town Square,LEED Certified,Sustainable Builders,LEED,6/6/2023,32,No,high-efficiency,local,40% reduction in energy use,true
Eco Elementary School,9/27/2007,6717199,Energy-efficient design,Downtown,Not Applicable,Sustainable Builders,LEED,12/31/2023,81,Yes,high-efficiency,local,25% reduction in energy use,true
Green Office Building,6/24/2009,21352983,Rainwater harvesting,Central District,LEED Gold,Green Architects Inc.,LEED,5/23/2023,71,Yes,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,11/12/2014,95320897,Energy-efficient design,Town Square,LEED Certified,Sustainable Builders,LEED,7/30/2023,0,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,8/27/2008,65003911,LEED Platinum certified,Central District,LEED Silver,Eco-Friendly Designs,ISO 14001,1/19/2024,1,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,6/14/2011,44952924,Energy-efficient design,City Centre,LEED Silver,EcoBuild Constructions,LEED,1/28/2024,42,Limited,high-efficiency,certified,30% reduction in energy use,false
Green Office Building,12/20/2009,55145787,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,11/4/2023,82,Limited,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,5/17/2017,17754607,Renewable energy sources,Metropolitan Area,LEED Certified,Eco-Friendly Designs,ISO 14001,11/1/2023,39,Yes,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,2/2/2013,26672983,LEED Platinum certified,City Centre,LEED Certified,EcoBuild Constructions,LEED,6/10/2023,90,No,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,11/6/2021,21355492,LEED Platinum certified,Downtown,LEED Certified,Eco-Friendly Designs,LEED,6/10/2023,9,Yes,low-flow,reclaimed,40% reduction in energy use,true
Sustainable Library,10/10/2020,30155505,Renewable energy sources,Downtown,LEED Certified,Eco-Friendly Designs,ISO 14001,10/31/2023,97,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Eco Elementary School,8/24/2022,35016365,Energy-efficient design,Central District,LEED Gold,Green Architects Inc.,LEED,9/9/2023,50,Yes,high-efficiency,certified,30% reduction in energy use,false
Green Office Building,4/12/2008,27792239,Energy-efficient design,City Centre,LEED Gold,EcoBuild Constructions,LEED,11/3/2023,93,Yes,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,12/26/2009,3308324,Renewable energy sources,City Centre,LEED Certified,EcoBuild Constructions,LEED,10/17/2023,26,Limited,low-flow,local,40% reduction in energy use,false
Green Office Building,6/5/2021,56804566,Renewable energy sources,Metropolitan Area,Not Applicable,EcoBuild Constructions,ENERGY STAR Certified,10/28/2023,47,Limited,low-flow,sustainable,40% reduction in energy use,false
Sustainable Library,5/22/2023,27039761,Green roof,City Centre,LEED Certified,Sustainable Builders,Green Globes,10/19/2023,80,Yes,low-flow,local,40% reduction in energy use,true
Sustainable Library,4/20/2006,56744897,Energy-efficient design,Town Square,LEED Silver,Green Architects Inc.,LEED,8/24/2023,81,No,low-flow,local,40% reduction in energy use,true
Sustainable Library,9/21/2014,90698730,Renewable energy sources,City Centre,Not Applicable,Sustainable Builders,ISO 14001,1/14/2024,51,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Eco Elementary School,7/9/2018,67833486,Renewable energy sources,Downtown,LEED Silver,Green Building Solutions,ISO 14001,8/25/2023,99,Limited,low-flow,certified,40% reduction in energy use,false
Green Office Building,6/16/2006,93572320,Rainwater harvesting,Town Square,LEED Silver,Green Architects Inc.,ENERGY STAR Certified,9/2/2023,75,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Green Office Building,10/19/2008,45490106,Rainwater harvesting,Central District,LEED Silver,Sustainable Builders,LEED,9/25/2023,25,Yes,low-flow,sustainable,40% reduction in energy use,true
Green Office Building,3/14/2009,88028042,Rainwater harvesting,Central District,LEED Certified,Sustainable Builders,LEED,12/23/2023,47,Limited,low-flow,certified,40% reduction in energy use,true
Sustainable Library,4/19/2018,46900298,Energy-efficient design,City Centre,Not Applicable,Sustainable Builders,ISO 14001,5/30/2023,86,Yes,high-efficiency,local,40% reduction in energy use,true
Green Office Building,2/7/2022,38955890,Rainwater harvesting,City Centre,LEED Platinum,Green Building Solutions,LEED,2/9/2024,76,Yes,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,3/1/2016,4838033,Rainwater harvesting,Central District,LEED Silver,EcoBuild Constructions,Green Globes,5/24/2023,54,No,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,7/1/2016,98743055,Rainwater harvesting,Central District,LEED Gold,EcoBuild Constructions,LEED,7/3/2023,64,Limited,low-flow,local,40% reduction in energy use,true
Sustainable Library,1/25/2012,35277661,Renewable energy sources,Town Square,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,5/28/2023,52,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,9/11/2018,11326676,Energy-efficient design,Metropolitan Area,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,2/20/2024,32,Yes,low-flow,certified,30% reduction in energy use,true
Sustainable Library,5/22/2022,71872239,Rainwater harvesting,Town Square,LEED Silver,Green Architects Inc.,LEED,10/30/2023,74,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,10/3/2010,10407318,Rainwater harvesting,Central District,LEED Silver,Green Architects Inc.,LEED,6/18/2023,5,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,2/19/2016,2334362,Energy-efficient design,City Centre,LEED Certified,Sustainable Builders,LEED,12/27/2023,50,Limited,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,3/9/2011,69706934,LEED Platinum certified,Central District,LEED Certified,Green Architects Inc.,LEED,6/26/2023,24,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,7/27/2008,62371653,Green roof,Downtown,LEED Silver,EcoBuild Constructions,LEED,7/14/2023,58,Yes,low-flow,sustainable,40% reduction in energy use,false
Eco Elementary School,8/3/2016,28676325,Rainwater harvesting,Town Square,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,9/25/2023,18,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,3/20/2009,52965854,Energy-efficient design,Central District,LEED Certified,Green Building Solutions,LEED,9/4/2023,34,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,4/3/2021,47182162,Green roof,Town Square,LEED Certified,Eco-Friendly Designs,ENERGY STAR Certified,8/29/2023,45,Limited,low-flow,local,30% reduction in energy use,false
Green Office Building,6/11/2014,52138939,LEED Platinum certified,Central District,LEED Silver,EcoBuild Constructions,LEED,12/14/2023,18,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Sustainable Library,6/18/2023,14416110,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Building Solutions,Green Globes,9/26/2023,36,Yes,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,5/21/2022,11465176,Renewable energy sources,Central District,LEED Silver,EcoBuild Constructions,ISO 14001,8/9/2023,38,Yes,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,12/20/2008,50742928,LEED Platinum certified,Central District,LEED Certified,Sustainable Builders,LEED,1/14/2024,35,Yes,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,6/28/2023,48967803,Renewable energy sources,Town Square,LEED Certified,Eco-Friendly Designs,Green Globes,7/1/2023,44,Limited,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,11/14/2022,34015951,LEED Platinum certified,Metropolitan Area,LEED Certified,Green Architects Inc.,LEED,11/30/2023,37,Limited,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,2/27/2019,84943415,Green roof,Town Square,LEED Gold,Green Building Solutions,LEED,11/12/2023,73,No,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,3/1/2009,33439155,Energy-efficient design,Downtown,LEED Gold,Eco-Friendly Designs,LEED,2/21/2024,1,No,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,10/20/2021,18954281,LEED Platinum certified,Downtown,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,2/28/2024,59,Yes,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,12/18/2007,24919171,Rainwater harvesting,Town Square,LEED Certified,Eco-Friendly Designs,ENERGY STAR Certified,12/15/2023,77,No,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,12/29/2006,26488380,Rainwater harvesting,Downtown,LEED Silver,Sustainable Builders,Green Globes,12/11/2023,83,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,3/9/2022,77563272,Renewable energy sources,Town Square,LEED Certified,Eco-Friendly Designs,ENERGY STAR Certified,8/21/2023,15,Yes,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,1/21/2016,33387745,Renewable energy sources,Central District,LEED Certified,EcoBuild Constructions,Green Globes,7/24/2023,33,No,low-flow,certified,30% reduction in energy use,true
Sustainable Library,5/13/2014,54190681,Energy-efficient design,City Centre,LEED Silver,Green Building Solutions,LEED,1/9/2024,9,No,high-efficiency,certified,40% reduction in energy use,false
Green Office Building,7/30/2022,62094355,Renewable energy sources,Metropolitan Area,Not Applicable,Eco-Friendly Designs,LEED,2/18/2024,93,Yes,high-efficiency,certified,25% reduction in energy use,false
Eco Elementary School,2/14/2009,67718909,Green roof,City Centre,LEED Silver,Eco-Friendly Designs,ISO 14001,7/18/2023,10,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,10/2/2010,80406901,Renewable energy sources,Central District,LEED Platinum,EcoBuild Constructions,ISO 14001,10/18/2023,97,No,high-efficiency,sustainable,40% reduction in energy use,true
Green Office Building,5/21/2007,79803314,Energy-efficient design,City Centre,LEED Silver,Eco-Friendly Designs,LEED,1/4/2024,99,Limited,high-efficiency,local,30% reduction in energy use,false
Eco Elementary School,10/4/2019,4378894,Rainwater harvesting,Town Square,LEED Silver,Sustainable Builders,Green Globes,12/4/2023,47,No,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,1/28/2016,66638419,Rainwater harvesting,Metropolitan Area,LEED Certified,EcoBuild Constructions,LEED,6/9/2023,89,Yes,high-efficiency,certified,25% reduction in energy use,false
Green Office Building,7/17/2020,67578438,Energy-efficient design,City Centre,LEED Silver,Sustainable Builders,LEED,12/13/2023,65,Limited,low-flow,certified,40% reduction in energy use,true
Green Office Building,12/24/2005,39606340,LEED Platinum certified,Metropolitan Area,LEED Certified,Sustainable Builders,LEED,12/20/2023,43,No,low-flow,certified,40% reduction in energy use,false
Sustainable Library,9/10/2010,26749670,LEED Platinum certified,City Centre,LEED Silver,Eco-Friendly Designs,ENERGY STAR Certified,11/27/2023,69,Yes,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,11/20/2018,69581398,Renewable energy sources,Town Square,Not Applicable,Green Building Solutions,Green Globes,1/1/2024,24,Limited,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,2/24/2016,87228286,Energy-efficient design,Metropolitan Area,LEED Certified,EcoBuild Constructions,LEED,1/31/2024,26,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,1/3/2017,3036462,Renewable energy sources,Central District,LEED Silver,Eco-Friendly Designs,LEED,12/12/2023,47,No,low-flow,sustainable,40% reduction in energy use,true
Eco Elementary School,5/11/2022,93397854,Renewable energy sources,Town Square,LEED Silver,Sustainable Builders,Green Globes,11/18/2023,29,Yes,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,10/30/2010,94531225,Rainwater harvesting,Downtown,LEED Certified,Sustainable Builders,ENERGY STAR Certified,6/9/2023,94,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Green Office Building,7/25/2020,32599443,Green roof,Central District,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,8/9/2023,14,Yes,high-efficiency,sustainable,40% reduction in energy use,true
Sustainable Library,3/29/2016,7253754,Rainwater harvesting,Central District,LEED Certified,Green Architects Inc.,ENERGY STAR Certified,2/5/2024,30,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Sustainable Library,5/10/2019,76610378,Rainwater harvesting,Downtown,LEED Gold,Sustainable Builders,ENERGY STAR Certified,8/2/2023,32,Limited,high-efficiency,certified,40% reduction in energy use,true
Green Office Building,2/16/2018,51489248,LEED Platinum certified,Central District,Not Applicable,Eco-Friendly Designs,LEED,10/5/2023,8,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Green Office Building,12/17/2017,27274356,Rainwater harvesting,Downtown,LEED Certified,Sustainable Builders,Green Globes,12/20/2023,64,Limited,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,3/17/2023,75181687,Green roof,Town Square,LEED Certified,Green Building Solutions,Green Globes,11/29/2023,70,Limited,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,1/31/2006,97605693,Rainwater harvesting,Central District,LEED Silver,Sustainable Builders,LEED,1/2/2024,74,Limited,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,9/23/2022,32148180,Rainwater harvesting,Metropolitan Area,LEED Certified,Green Building Solutions,ISO 14001,8/14/2023,73,Limited,high-efficiency,certified,40% reduction in energy use,true
Eco Elementary School,2/7/2011,73076380,Rainwater harvesting,Central District,Not Applicable,Sustainable Builders,LEED,12/30/2023,66,Yes,high-efficiency,recycled,40% reduction in energy use,true
Sustainable Library,5/25/2018,72611278,Green roof,Metropolitan Area,LEED Silver,Sustainable Builders,Green Globes,9/4/2023,11,Yes,low-flow,local,30% reduction in energy use,false
Green Office Building,8/5/2023,72211238,Energy-efficient design,Downtown,LEED Silver,Sustainable Builders,LEED,9/6/2023,87,Limited,high-efficiency,reclaimed,30% reduction in energy use,true
Sustainable Library,9/29/2015,27847349,Green roof,City Centre,LEED Certified,Eco-Friendly Designs,LEED,10/28/2023,12,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,7/14/2020,93753447,Energy-efficient design,Central District,LEED Certified,Sustainable Builders,LEED,11/13/2023,16,Yes,high-efficiency,local,40% reduction in energy use,true
Green Office Building,4/17/2006,4214683,LEED Platinum certified,Downtown,LEED Silver,Green Architects Inc.,LEED,8/31/2023,98,Limited,high-efficiency,local,30% reduction in energy use,false
Green Office Building,3/13/2007,77687891,Rainwater harvesting,Central District,LEED Gold,Green Building Solutions,LEED,6/5/2023,29,Limited,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,5/7/2014,8840267,Energy-efficient design,Central District,Not Applicable,Eco-Friendly Designs,LEED,1/10/2024,81,Yes,low-flow,local,40% reduction in energy use,false
