ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Green Office Building,8/20/2011,49262937,Renewable energy sources,Downtown,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,10/10/2023,59,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Green Office Building,9/16/2018,89966601,Energy-efficient design,Central District,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,5/30/2023,10,1- No,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,true
Eco Elementary School,10/29/2013,31527948,Energy-efficient design,Metropolitan Area,1 Level - Not Applicable,Eco-Friendly Designs,4 Level -  ISO 14001,6/22/2023,40,2 - Limited,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Eco Elementary School,11/1/2017,70066012,Energy-efficient design,Metropolitan Area,5 Level - LEED Platinum,Sustainable Builders,2 Level - LEED,1/9/2024,21,3 - Yes,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Green Office Building,3/16/2010,91762424,Renewable energy sources,Town Square,4 Level - LEED Gold,Green Building Solutions,3 Level - Green Globes,2/11/2024,11,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,true
Eco Elementary School,6/17/2020,44765468,Renewable energy sources,City Centre,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,2/24/2024,60,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,false
Eco Elementary School,1/7/2016,56498737,Green roof,City Centre,5 Level - LEED Platinum,Eco-Friendly Designs,3 Level - Green Globes,1/17/2024,65,1- No,1 - low-flow,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,6/15/2006,87563113,LEED Platinum certified,Downtown,2 Level - LEED Certified,Green Building Solutions,4 Level -  ISO 14001,12/17/2023,100,1- No,2 - high-efficiency,4 - reclaimed,30% reduction in energy use,false
Eco Elementary School,1/27/2023,82377683,Rainwater harvesting,City Centre,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,9/1/2023,75,3 - Yes,1 - low-flow,5 - certified,25% reduction in energy use,true
Green Office Building,1/13/2007,51580790,Green roof,Metropolitan Area,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,8/4/2023,69,3 - Yes,1 - low-flow,4 - reclaimed,40% reduction in energy use,true
Green Office Building,11/22/2006,45081096,Renewable energy sources,Downtown,2 Level - LEED Certified,Eco-Friendly Designs,4 Level -  ISO 14001,8/22/2023,33,3 - Yes,1 - low-flow,5 - certified,30% reduction in energy use,true
Green Office Building,10/10/2012,30201792,Rainwater harvesting,City Centre,2 Level - LEED Certified,Green Architects Inc.,4 Level -  ISO 14001,7/25/2023,31,1- No,1 - low-flow,4 - reclaimed,30% reduction in energy use,true
Green Office Building,5/2/2010,12834061,Renewable energy sources,City Centre,4 Level - LEED Gold,EcoBuild Constructions,3 Level - Green Globes,5/20/2023,10,2 - Limited,1 - low-flow,4 - reclaimed,25% reduction in energy use,true
Eco Elementary School,8/4/2017,966352,LEED Platinum certified,Downtown,5 Level - LEED Platinum,Green Building Solutions,4 Level -  ISO 14001,5/17/2023,84,1- No,1 - low-flow,4 - reclaimed,25% reduction in energy use,true
Sustainable Library,5/3/2012,44404585,LEED Platinum certified,Town Square,4 Level - LEED Gold,Sustainable Builders,1 Level - ENERGY STAR Certified,12/1/2023,89,3 - Yes,1 - low-flow,5 - certified,25% reduction in energy use,false
Eco Elementary School,4/3/2008,84531184,Energy-efficient design,Town Square,5 Level - LEED Platinum,Green Architects Inc.,3 Level - Green Globes,10/15/2023,13,3 - Yes,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,false
Sustainable Library,1/5/2015,33190542,Rainwater harvesting,City Centre,2 Level - LEED Certified,EcoBuild Constructions,3 Level - Green Globes,3/8/2024,42,2 - Limited,2 - high-efficiency,3 - sustainable,40% reduction in energy use,false
Eco Elementary School,2/1/2018,67360757,LEED Platinum certified,Metropolitan Area,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,2/25/2024,50,2 - Limited,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Eco Elementary School,7/9/2020,82488690,Green roof,City Centre,2 Level - LEED Certified,Green Building Solutions,4 Level -  ISO 14001,10/29/2023,52,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Green Office Building,8/7/2011,98782958,Green roof,Metropolitan Area,5 Level - LEED Platinum,Green Architects Inc.,3 Level - Green Globes,11/5/2023,18,3 - Yes,1 - low-flow,2 - recycled,40% reduction in energy use,true
Sustainable Library,2/4/2015,76385253,Green roof,City Centre,3 Level - LEED Silver,Sustainable Builders,3 Level - Green Globes,1/22/2024,14,2 - Limited,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Green Office Building,4/19/2020,79526571,Green roof,City Centre,4 Level - LEED Gold,EcoBuild Constructions,3 Level - Green Globes,9/15/2023,50,2 - Limited,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,true
Green Office Building,8/24/2015,13788498,LEED Platinum certified,Metropolitan Area,5 Level - LEED Platinum,Sustainable Builders,4 Level -  ISO 14001,8/26/2023,1,3 - Yes,2 - high-efficiency,3 - sustainable,40% reduction in energy use,true
Sustainable Library,11/12/2016,5883819,LEED Platinum certified,Town Square,5 Level - LEED Platinum,Eco-Friendly Designs,3 Level - Green Globes,11/5/2023,81,3 - Yes,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Sustainable Library,1/2/2020,62763474,Renewable energy sources,Downtown,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,5/27/2023,83,2 - Limited,1 - low-flow,4 - reclaimed,30% reduction in energy use,false
Green Office Building,5/16/2016,52985570,Energy-efficient design,Metropolitan Area,2 Level - LEED Certified,Sustainable Builders,1 Level - ENERGY STAR Certified,7/20/2023,77,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Sustainable Library,4/15/2006,87903874,Renewable energy sources,Town Square,5 Level - LEED Platinum,Sustainable Builders,4 Level -  ISO 14001,6/14/2023,76,3 - Yes,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Eco Elementary School,1/4/2017,36596676,Rainwater harvesting,Town Square,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,11/25/2023,81,3 - Yes,1 - low-flow,4 - reclaimed,40% reduction in energy use,false
Sustainable Library,2/27/2018,11699359,LEED Platinum certified,Central District,5 Level - LEED Platinum,Green Architects Inc.,2 Level - LEED,6/14/2023,14,3 - Yes,1 - low-flow,4 - reclaimed,40% reduction in energy use,false
Sustainable Library,9/14/2011,82922181,Energy-efficient design,Town Square,4 Level - LEED Gold,Sustainable Builders,1 Level - ENERGY STAR Certified,3/2/2024,17,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Green Office Building,7/29/2010,44078545,LEED Platinum certified,City Centre,5 Level - LEED Platinum,Eco-Friendly Designs,2 Level - LEED,12/28/2023,10,2 - Limited,1 - low-flow,4 - reclaimed,25% reduction in energy use,false
Green Office Building,3/31/2013,16105549,Energy-efficient design,Downtown,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,9/22/2023,98,2 - Limited,2 - high-efficiency,1 - local,40% reduction in energy use,false
Eco Elementary School,7/3/2012,29230374,Green roof,Town Square,3 Level - LEED Silver,Green Architects Inc.,3 Level - Green Globes,12/17/2023,40,3 - Yes,1 - low-flow,5 - certified,40% reduction in energy use,true
Eco Elementary School,6/3/2012,5270577,LEED Platinum certified,Metropolitan Area,5 Level - LEED Platinum,Green Building Solutions,3 Level - Green Globes,11/27/2023,30,2 - Limited,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,true
Green Office Building,5/14/2009,21911758,Green roof,Metropolitan Area,1 Level - Not Applicable,Green Building Solutions,3 Level - Green Globes,9/14/2023,20,1- No,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Sustainable Library,7/9/2018,77934372,Green roof,Metropolitan Area,5 Level - LEED Platinum,EcoBuild Constructions,2 Level - LEED,8/10/2023,79,3 - Yes,1 - low-flow,2 - recycled,25% reduction in energy use,false
Sustainable Library,12/29/2014,92314521,Energy-efficient design,Central District,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,12/21/2023,72,2 - Limited,1 - low-flow,5 - certified,30% reduction in energy use,false
Eco Elementary School,7/28/2015,68141020,Energy-efficient design,Central District,1 Level - Not Applicable,Sustainable Builders,1 Level - ENERGY STAR Certified,2/1/2024,56,1- No,2 - high-efficiency,5 - certified,25% reduction in energy use,false
Green Office Building,4/1/2017,25403455,Renewable energy sources,Central District,2 Level - LEED Certified,Sustainable Builders,3 Level - Green Globes,1/20/2024,38,2 - Limited,1 - low-flow,4 - reclaimed,30% reduction in energy use,false
Sustainable Library,10/1/2012,1803918,Green roof,Town Square,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,9/20/2023,82,3 - Yes,2 - high-efficiency,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,12/26/2015,61856247,LEED Platinum certified,City Centre,5 Level - LEED Platinum,EcoBuild Constructions,3 Level - Green Globes,6/20/2023,47,2 - Limited,2 - high-efficiency,5 - certified,30% reduction in energy use,true
Green Office Building,11/25/2011,96327303,Rainwater harvesting,Central District,3 Level - LEED Silver,EcoBuild Constructions,3 Level - Green Globes,11/10/2023,72,2 - Limited,1 - low-flow,5 - certified,40% reduction in energy use,true
Eco Elementary School,12/19/2005,28725760,Energy-efficient design,City Centre,3 Level - LEED Silver,Green Building Solutions,2 Level - LEED,12/18/2023,48,3 - Yes,2 - high-efficiency,3 - sustainable,30% reduction in energy use,true
Eco Elementary School,8/16/2008,24565988,LEED Platinum certified,Downtown,2 Level - LEED Certified,Eco-Friendly Designs,3 Level - Green Globes,6/16/2023,80,3 - Yes,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,true
Green Office Building,7/9/2022,88883115,Energy-efficient design,Central District,4 Level - LEED Gold,EcoBuild Constructions,4 Level -  ISO 14001,1/26/2024,64,3 - Yes,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Eco Elementary School,6/25/2006,67453336,Energy-efficient design,City Centre,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,5/24/2023,73,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,true
Eco Elementary School,12/11/2009,92489092,Green roof,Central District,4 Level - LEED Gold,Green Building Solutions,4 Level -  ISO 14001,6/16/2023,24,3 - Yes,2 - high-efficiency,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,12/25/2017,68587366,Rainwater harvesting,Metropolitan Area,4 Level - LEED Gold,Sustainable Builders,4 Level -  ISO 14001,12/6/2023,39,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,true
Eco Elementary School,10/20/2020,82134032,Green roof,Central District,5 Level - LEED Platinum,EcoBuild Constructions,3 Level - Green Globes,12/8/2023,43,2 - Limited,1 - low-flow,3 - sustainable,25% reduction in energy use,false
Sustainable Library,10/30/2007,45384058,Energy-efficient design,Central District,3 Level - LEED Silver,EcoBuild Constructions,4 Level -  ISO 14001,2/8/2024,95,3 - Yes,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Eco Elementary School,6/21/2006,26071427,Renewable energy sources,Central District,5 Level - LEED Platinum,Eco-Friendly Designs,4 Level -  ISO 14001,7/7/2023,8,3 - Yes,1 - low-flow,5 - certified,30% reduction in energy use,true
Eco Elementary School,2/17/2008,44197104,Renewable energy sources,Downtown,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,8/1/2023,76,3 - Yes,2 - high-efficiency,4 - reclaimed,30% reduction in energy use,true
Eco Elementary School,3/7/2010,45874523,Energy-efficient design,Town Square,1 Level - Not Applicable,Sustainable Builders,3 Level - Green Globes,11/28/2023,97,3 - Yes,1 - low-flow,5 - certified,40% reduction in energy use,false
Green Office Building,6/2/2019,60750995,Renewable energy sources,City Centre,4 Level - LEED Gold,Green Building Solutions,1 Level - ENERGY STAR Certified,5/23/2023,26,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Eco Elementary School,9/28/2007,39347931,Green roof,City Centre,1 Level - Not Applicable,Green Architects Inc.,4 Level -  ISO 14001,11/2/2023,72,3 - Yes,2 - high-efficiency,5 - certified,25% reduction in energy use,true
Green Office Building,1/11/2013,45685151,Green roof,Metropolitan Area,5 Level - LEED Platinum,Eco-Friendly Designs,1 Level - ENERGY STAR Certified,12/23/2023,28,3 - Yes,2 - high-efficiency,2 - recycled,25% reduction in energy use,false
Eco Elementary School,12/18/2022,90447749,Green roof,Central District,4 Level - LEED Gold,Sustainable Builders,4 Level -  ISO 14001,2/1/2024,66,2 - Limited,1 - low-flow,5 - certified,25% reduction in energy use,false
Sustainable Library,8/20/2013,83530528,Green roof,Downtown,5 Level - LEED Platinum,Eco-Friendly Designs,2 Level - LEED,9/13/2023,65,1- No,2 - high-efficiency,2 - recycled,40% reduction in energy use,false
Eco Elementary School,5/11/2023,21417558,Rainwater harvesting,Metropolitan Area,1 Level - Not Applicable,Green Building Solutions,4 Level -  ISO 14001,5/27/2023,97,3 - Yes,1 - low-flow,1 - local,40% reduction in energy use,true
Eco Elementary School,8/28/2018,74039282,Green roof,City Centre,4 Level - LEED Gold,Green Architects Inc.,3 Level - Green Globes,12/7/2023,35,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,false
Green Office Building,10/2/2019,49016130,Rainwater harvesting,Metropolitan Area,5 Level - LEED Platinum,Green Building Solutions,4 Level -  ISO 14001,1/4/2024,75,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,false
Eco Elementary School,1/16/2016,15325526,Renewable energy sources,City Centre,4 Level - LEED Gold,Sustainable Builders,3 Level - Green Globes,7/13/2023,42,1- No,2 - high-efficiency,1 - local,30% reduction in energy use,true
Green Office Building,7/23/2018,96116841,Renewable energy sources,Central District,3 Level - LEED Silver,Green Architects Inc.,2 Level - LEED,12/3/2023,24,2 - Limited,1 - low-flow,3 - sustainable,25% reduction in energy use,false
Eco Elementary School,3/14/2012,73598104,LEED Platinum certified,Central District,3 Level - LEED Silver,Eco-Friendly Designs,4 Level -  ISO 14001,10/18/2023,78,2 - Limited,2 - high-efficiency,1 - local,25% reduction in energy use,true
Green Office Building,11/8/2007,40025968,Rainwater harvesting,City Centre,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,12/9/2023,33,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,false
Eco Elementary School,2/19/2015,81933149,LEED Platinum certified,Town Square,4 Level - LEED Gold,EcoBuild Constructions,3 Level - Green Globes,6/25/2023,54,1- No,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,false
Sustainable Library,4/9/2021,53424011,Energy-efficient design,Central District,1 Level - Not Applicable,EcoBuild Constructions,4 Level -  ISO 14001,9/17/2023,90,1- No,2 - high-efficiency,5 - certified,40% reduction in energy use,false
Eco Elementary School,7/4/2006,79178451,Rainwater harvesting,Town Square,5 Level - LEED Platinum,Green Building Solutions,4 Level -  ISO 14001,9/22/2023,90,3 - Yes,2 - high-efficiency,3 - sustainable,30% reduction in energy use,true
Sustainable Library,10/21/2006,21729328,LEED Platinum certified,City Centre,5 Level - LEED Platinum,Green Architects Inc.,4 Level -  ISO 14001,10/19/2023,54,1- No,1 - low-flow,5 - certified,30% reduction in energy use,true
Eco Elementary School,12/11/2005,14908406,LEED Platinum certified,City Centre,4 Level - LEED Gold,EcoBuild Constructions,2 Level - LEED,12/14/2023,48,2 - Limited,1 - low-flow,5 - certified,30% reduction in energy use,false
Eco Elementary School,6/16/2017,15951065,Renewable energy sources,Central District,5 Level - LEED Platinum,Green Building Solutions,3 Level - Green Globes,1/21/2024,43,1- No,2 - high-efficiency,1 - local,25% reduction in energy use,true
Eco Elementary School,3/21/2009,2980547,Rainwater harvesting,Downtown,3 Level - LEED Silver,Sustainable Builders,2 Level - LEED,8/3/2023,72,3 - Yes,2 - high-efficiency,1 - local,40% reduction in energy use,true
Sustainable Library,10/11/2018,86674815,Rainwater harvesting,Town Square,5 Level - LEED Platinum,Sustainable Builders,4 Level -  ISO 14001,8/29/2023,33,3 - Yes,2 - high-efficiency,1 - local,40% reduction in energy use,false
Sustainable Library,3/13/2008,12082046,Renewable energy sources,City Centre,3 Level - LEED Silver,Green Building Solutions,2 Level - LEED,9/22/2023,24,3 - Yes,2 - high-efficiency,5 - certified,30% reduction in energy use,true
Sustainable Library,2/26/2017,41192249,Green roof,Downtown,2 Level - LEED Certified,EcoBuild Constructions,4 Level -  ISO 14001,1/19/2024,25,3 - Yes,1 - low-flow,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,3/31/2022,76470464,Energy-efficient design,Central District,2 Level - LEED Certified,Green Architects Inc.,1 Level - ENERGY STAR Certified,9/13/2023,54,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,5/24/2022,8322448,LEED Platinum certified,Downtown,3 Level - LEED Silver,Green Architects Inc.,4 Level -  ISO 14001,6/27/2023,29,3 - Yes,1 - low-flow,5 - certified,40% reduction in energy use,false
Eco Elementary School,6/22/2006,70892468,Rainwater harvesting,Downtown,5 Level - LEED Platinum,Eco-Friendly Designs,1 Level - ENERGY STAR Certified,2/13/2024,57,2 - Limited,2 - high-efficiency,3 - sustainable,25% reduction in energy use,true
Sustainable Library,2/21/2015,7083852,Energy-efficient design,Metropolitan Area,3 Level - LEED Silver,Green Building Solutions,4 Level -  ISO 14001,1/13/2024,15,3 - Yes,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Eco Elementary School,2/8/2017,31102919,Rainwater harvesting,Town Square,1 Level - Not Applicable,EcoBuild Constructions,1 Level - ENERGY STAR Certified,9/12/2023,48,2 - Limited,2 - high-efficiency,1 - local,25% reduction in energy use,false
Sustainable Library,4/8/2013,83677638,Rainwater harvesting,Central District,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,10/1/2023,73,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,true
Green Office Building,3/10/2015,73958228,Renewable energy sources,Central District,1 Level - Not Applicable,Eco-Friendly Designs,4 Level -  ISO 14001,1/23/2024,45,2 - Limited,1 - low-flow,1 - local,40% reduction in energy use,true
Sustainable Library,3/28/2006,30624702,Green roof,Metropolitan Area,3 Level - LEED Silver,EcoBuild Constructions,2 Level - LEED,10/16/2023,42,3 - Yes,1 - low-flow,3 - sustainable,40% reduction in energy use,false
Eco Elementary School,2/10/2023,62196816,Green roof,Downtown,1 Level - Not Applicable,Green Architects Inc.,2 Level - LEED,6/29/2023,12,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,true
Green Office Building,12/23/2015,37183853,Green roof,Central District,3 Level - LEED Silver,Sustainable Builders,2 Level - LEED,2/9/2024,79,2 - Limited,2 - high-efficiency,4 - reclaimed,40% reduction in energy use,false
Green Office Building,4/1/2006,75158235,Rainwater harvesting,City Centre,3 Level - LEED Silver,Eco-Friendly Designs,4 Level -  ISO 14001,1/14/2024,0,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,false
Green Office Building,6/26/2019,78946851,Energy-efficient design,Metropolitan Area,5 Level - LEED Platinum,Eco-Friendly Designs,3 Level - Green Globes,11/10/2023,18,3 - Yes,2 - high-efficiency,4 - reclaimed,25% reduction in energy use,false
Eco Elementary School,9/3/2007,3045202,Rainwater harvesting,Downtown,4 Level - LEED Gold,Eco-Friendly Designs,4 Level -  ISO 14001,6/6/2023,62,2 - Limited,2 - high-efficiency,2 - recycled,25% reduction in energy use,true
Sustainable Library,2/7/2019,21537983,Rainwater harvesting,Town Square,2 Level - LEED Certified,EcoBuild Constructions,4 Level -  ISO 14001,6/16/2023,71,3 - Yes,2 - high-efficiency,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,3/13/2006,72428426,Renewable energy sources,Downtown,2 Level - LEED Certified,Eco-Friendly Designs,2 Level - LEED,2/20/2024,17,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,false
Sustainable Library,12/4/2016,8525094,Renewable energy sources,City Centre,5 Level - LEED Platinum,Sustainable Builders,3 Level - Green Globes,2/3/2024,18,3 - Yes,2 - high-efficiency,2 - recycled,30% reduction in energy use,false
Eco Elementary School,3/24/2008,29305571,Energy-efficient design,Downtown,2 Level - LEED Certified,Eco-Friendly Designs,3 Level - Green Globes,7/25/2023,61,3 - Yes,1 - low-flow,4 - reclaimed,25% reduction in energy use,false
Sustainable Library,10/5/2019,91592694,LEED Platinum certified,Central District,4 Level - LEED Gold,Sustainable Builders,4 Level -  ISO 14001,12/3/2023,63,2 - Limited,1 - low-flow,2 - recycled,40% reduction in energy use,true
Sustainable Library,2/9/2011,88106464,Renewable energy sources,Town Square,5 Level - LEED Platinum,Sustainable Builders,3 Level - Green Globes,1/4/2024,69,2 - Limited,2 - high-efficiency,3 - sustainable,40% reduction in energy use,true
Eco Elementary School,8/12/2010,98080834,LEED Platinum certified,Central District,5 Level - LEED Platinum,EcoBuild Constructions,4 Level -  ISO 14001,2/28/2024,44,3 - Yes,2 - high-efficiency,1 - local,40% reduction in energy use,true
Sustainable Library,12/1/2020,19157891,Energy-efficient design,Metropolitan Area,1 Level - Not Applicable,Green Building Solutions,4 Level -  ISO 14001,1/2/2024,97,2 - Limited,2 - high-efficiency,5 - certified,40% reduction in energy use,false
