ContractTitle,ContractDate,ContractAmount,ContractDescription,Location           ,LEEDCertificationLevel,Architect/Contractor,SustainabilityRatings,ProjectTimeline,RenewableEnergyUse,WasteManagementPractices,WaterEfficiency,MaterialsSourcing,SustainabilityGoals,Eco-Friendly
Sustainable Library,2/20/2023,784902.5,Rainwater harvesting,Trincomalee,LEED Silve,Green Architects Inc.,ENERGY STAR Certified,3/1/2024,7.42,Yes,low-flow,sustainable,25% reduction in energy use,true
Sustainable Library,6/23/2023,220060.13,Energy-efficient design,Jaffna,Not Applicable,Sustainable Builders,LEED,2/26/2024,44.58,Yes,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,3/30/2023,391043.24,LEED Platinum certified,Gampaha,LEED Silve,Eco-Friendly Designs,Green Globes,1/13/2024,20.04,Limited,low-flow,reclaimed,40% reduction in energy use,false
Sustainable Library,2/12/2023,699068.2,Green roof,Gampaha,Not Applicable,Green Architects Inc.,ISO 14001,5/20/2023,56.89,Yes,low-flow,reclaimed,30% reduction in energy use,true
Sustainable Library,5/9/2023,267621.68,Renewable energy sources,Galle,LEED Gold,EcoBuild Constructions,Green Globes,9/29/2023,88.66,Limited,low-flow,certified,40% reduction in energy use,false
Eco Elementary School,7/27/2023,244711.37,Energy-efficient design,Gampaha,LEED Gold,Green Building Solutions,Green Globes,10/31/2023,5.45,No,high-efficiency,reclaimed,25% reduction in energy use,false
Eco Elementary School,8/9/2023,255675.36,Energy-efficient design,Gampaha,LEED Gold,Eco-Friendly Designs,ISO 14001,12/30/2023,84.05,Limited,high-efficiency,recycled,30% reduction in energy use,false
Green Office Building,7/29/2023,382134.22,Green roof,Galle,LEED Gold,Eco-Friendly Designs,Green Globes,5/23/2023,36.8,No,high-efficiency,local,25% reduction in energy use,true
Eco Elementary School,10/23/2023,988755.21,Energy-efficient design,Negombo,LEED Silve,EcoBuild Constructions,Green Globes,6/1/2023,34.18,Limited,high-efficiency,local,40% reduction in energy use,false
Sustainable Library,8/31/2023,263733.49,Energy-efficient design,Kurunegala,Not Applicable,Green Building Solutions,ISO 14001,7/12/2023,99.82,No,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,11/29/2022,967256.45,Energy-efficient design,Kandy,LEED Platinum,EcoBuild Constructions,ISO 14001,5/21/2023,29.62,No,high-efficiency,reclaimed,25% reduction in energy use,true
Eco Elementary School,9/16/2023,356883.18,Renewable energy sources,Kurunegala,LEED Certified,EcoBuild Constructions,LEED,6/9/2023,66.59,Limited,low-flow,certified,25% reduction in energy use,false
Green Office Building,6/4/2023,486032.82,LEED Platinum certified,Colombo,LEED Certified,Green Architects Inc.,ISO 14001,10/12/2023,15.68,No,low-flow,local,30% reduction in energy use,true
Eco Elementary School,1/26/2023,893088.7,Rainwater harvesting,Gampaha,LEED Platinum,Sustainable Builders,LEED,8/4/2023,96.23,Limited,low-flow,certified,40% reduction in energy use,false
Sustainable Library,4/10/2023,609646.47,LEED Platinum certified,Trincomalee,Not Applicable,EcoBuild Constructions,Green Globes,11/23/2023,79.25,Yes,high-efficiency,local,40% reduction in energy use,false
Green Office Building,4/21/2023,403662.59,Green roof,Galle,LEED Silve,Eco-Friendly Designs,Green Globes,2/17/2024,96.84,No,high-efficiency,recycled,25% reduction in energy use,false
Sustainable Library,10/27/2022,201972.42,Energy-efficient design,Matara,LEED Gold,Green Architects Inc.,LEED,11/12/2023,37.91,Limited,high-efficiency,recycled,25% reduction in energy use,true
Eco Elementary School,11/28/2022,327107.07,Green roof,Negombo,Not Applicable,Sustainable Builders,LEED,12/7/2023,39.79,Limited,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,12/30/2022,491817.61,Renewable energy sources,Gampaha,LEED Gold,EcoBuild Constructions,ENERGY STAR Certified,8/23/2023,31.36,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,1/18/2023,267195.29,LEED Platinum certified,Negombo,LEED Gold,Sustainable Builders,LEED,12/28/2023,13.65,Limited,low-flow,recycled,40% reduction in energy use,true
Sustainable Library,7/24/2023,311315.75,Energy-efficient design,Kandy,LEED Platinum,Eco-Friendly Designs,Green Globes,8/13/2023,69.62,No,low-flow,certified,30% reduction in energy use,false
Eco Elementary School,1/13/2023,967724.47,Rainwater harvesting,Trincomalee,LEED Silve,EcoBuild Constructions,Green Globes,6/22/2023,83.89,Limited,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,2/14/2023,878735.81,Rainwater harvesting,Galle,LEED Silve,EcoBuild Constructions,ISO 14001,8/11/2023,82.33,No,high-efficiency,recycled,40% reduction in energy use,false
Green Office Building,4/19/2023,420201.97,Renewable energy sources,Negombo,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,7/18/2023,16.74,No,low-flow,reclaimed,25% reduction in energy use,false
Green Office Building,6/6/2023,983074.16,LEED Platinum certified,Negombo,LEED Silve,Green Architects Inc.,LEED,2/1/2024,27.03,No,low-flow,local,40% reduction in energy use,true
Green Office Building,4/3/2023,550729.46,Rainwater harvesting,Anuradhapura,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,12/23/2023,69.34,Limited,low-flow,local,30% reduction in energy use,true
Green Office Building,6/19/2023,264382.96,Green roof,Jaffna,Not Applicable,Sustainable Builders,Green Globes,9/25/2023,65.58,Limited,low-flow,sustainable,40% reduction in energy use,false
Green Office Building,5/12/2023,564454.03,Renewable energy sources,Negombo,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,9/9/2023,10.35,Limited,low-flow,local,30% reduction in energy use,false
Green Office Building,7/23/2023,909375.1,Energy-efficient design,Trincomalee,Not Applicable,Green Architects Inc.,Green Globes,7/3/2023,92.23,Yes,high-efficiency,recycled,30% reduction in energy use,true
Sustainable Library,2/8/2023,671645.77,LEED Platinum certified,Kurunegala,LEED Certified,Green Architects Inc.,LEED,7/11/2023,56.77,No,low-flow,recycled,30% reduction in energy use,true
Eco Elementary School,12/3/2022,970360.77,Rainwater harvesting,Colombo,LEED Gold,Green Architects Inc.,LEED,6/26/2023,81.64,No,low-flow,sustainable,40% reduction in energy use,true
Eco Elementary School,9/14/2023,352097.61,Green roof,Colombo,LEED Gold,Green Architects Inc.,Green Globes,6/3/2023,47.96,No,high-efficiency,reclaimed,25% reduction in energy use,false
Sustainable Library,4/28/2023,426420.22,Energy-efficient design,Gampaha,LEED Certified,EcoBuild Constructions,ISO 14001,11/13/2023,16.2,Yes,low-flow,certified,30% reduction in energy use,true
Green Office Building,11/25/2022,169968.87,Green roof,Kurunegala,Not Applicable,Green Building Solutions,LEED,11/20/2023,35.22,Yes,low-flow,reclaimed,25% reduction in energy use,false
Sustainable Library,12/8/2022,732316.01,Rainwater harvesting,Kurunegala,LEED Silve,Sustainable Builders,ISO 14001,11/28/2023,26.17,No,high-efficiency,local,30% reduction in energy use,false
Eco Elementary School,8/9/2023,171822.66,Green roof,Kandy,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,6/7/2023,8.44,No,high-efficiency,sustainable,25% reduction in energy use,true
Green Office Building,7/5/2023,890822.25,Green roof,Gampaha,Not Applicable,Sustainable Builders,Green Globes,6/26/2023,36.54,Limited,low-flow,reclaimed,40% reduction in energy use,true
Eco Elementary School,6/4/2023,294923.68,Green roof,Kandy,LEED Platinum,Green Architects Inc.,ENERGY STAR Certified,11/30/2023,49.82,No,low-flow,sustainable,25% reduction in energy use,false
Sustainable Library,12/6/2022,498857.47,LEED Platinum certified,Galle,LEED Silve,Sustainable Builders,ENERGY STAR Certified,12/8/2023,75.81,Limited,low-flow,recycled,40% reduction in energy use,false
Green Office Building,5/8/2023,111502.16,Rainwater harvesting,Matara,LEED Silve,Eco-Friendly Designs,Green Globes,6/16/2023,12.96,Limited,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,1/4/2023,814347.29,Renewable energy sources,Kandy,LEED Certified,EcoBuild Constructions,LEED,8/2/2023,68.35,No,low-flow,certified,40% reduction in energy use,false
Green Office Building,8/2/2023,478159.59,Green roof,Matara,LEED Silve,Sustainable Builders,LEED,2/20/2024,74.94,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Green Office Building,3/12/2023,120454.59,LEED Platinum certified,Jaffna,LEED Platinum,Sustainable Builders,ISO 14001,8/22/2023,4.22,No,low-flow,reclaimed,25% reduction in energy use,true
Sustainable Library,4/30/2023,473414.95,Rainwater harvesting,Trincomalee,LEED Certified,Eco-Friendly Designs,ENERGY STAR Certified,10/27/2023,32.48,No,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,10/23/2023,984142.86,LEED Platinum certified,Galle,LEED Platinum,Sustainable Builders,ENERGY STAR Certified,6/19/2023,6.22,Yes,low-flow,sustainable,40% reduction in energy use,true
Sustainable Library,7/14/2023,237766.72,LEED Platinum certified,Trincomalee,Not Applicable,EcoBuild Constructions,ENERGY STAR Certified,6/30/2023,34.31,Limited,low-flow,reclaimed,30% reduction in energy use,false
Eco Elementary School,10/14/2023,126843.45,Green roof,Galle,LEED Platinum,Green Architects Inc.,ENERGY STAR Certified,10/29/2023,16.9,Yes,low-flow,local,30% reduction in energy use,true
Green Office Building,6/20/2023,506547.33,Renewable energy sources,Negombo,LEED Platinum,EcoBuild Constructions,LEED,11/28/2023,8.03,Yes,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,1/7/2023,112822.02,Rainwater harvesting,Matara,LEED Certified,Green Architects Inc.,Green Globes,6/14/2023,61.83,Limited,high-efficiency,certified,40% reduction in energy use,true
Sustainable Library,1/15/2023,713919.49,Renewable energy sources,Kurunegala,LEED Certified,EcoBuild Constructions,LEED,10/8/2023,17.42,No,low-flow,reclaimed,30% reduction in energy use,false
Sustainable Library,3/25/2023,622982.17,Renewable energy sources,Kandy,LEED Certified,Eco-Friendly Designs,Green Globes,12/25/2023,69.71,Yes,high-efficiency,certified,40% reduction in energy use,false
Sustainable Library,8/12/2023,926556.19,Energy-efficient design,Galle,LEED Platinum,Eco-Friendly Designs,ENERGY STAR Certified,6/1/2023,43.61,No,high-efficiency,reclaimed,30% reduction in energy use,false
Eco Elementary School,6/2/2023,548306.9,Energy-efficient design,Negombo,LEED Gold,Sustainable Builders,LEED,2/12/2024,82.79,Limited,high-efficiency,sustainable,40% reduction in energy use,false
Green Office Building,6/23/2023,568287.5,Rainwater harvesting,Gampaha,Not Applicable,Green Architects Inc.,ENERGY STAR Certified,1/20/2024,41.93,Limited,low-flow,certified,40% reduction in energy use,false
Green Office Building,10/1/2023,133072.42,LEED Platinum certified,Matara,LEED Silve,EcoBuild Constructions,ENERGY STAR Certified,2/13/2024,42.97,Limited,low-flow,local,40% reduction in energy use,false
Eco Elementary School,3/12/2023,164306.36,Energy-efficient design,Colombo,LEED Silve,Green Building Solutions,Green Globes,5/15/2023,48.58,Yes,low-flow,certified,40% reduction in energy use,true
Sustainable Library,3/26/2023,649960.15,LEED Platinum certified,Colombo,LEED Silve,Eco-Friendly Designs,ENERGY STAR Certified,1/12/2024,48.92,Yes,low-flow,reclaimed,30% reduction in energy use,false
Sustainable Library,4/10/2023,252527.85,Green roof,Anuradhapura,LEED Certified,Green Building Solutions,ISO 14001,11/15/2023,42.43,No,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,12/3/2022,247730.31,Renewable energy sources,Anuradhapura,LEED Gold,Green Building Solutions,LEED,6/22/2023,82.25,Limited,low-flow,recycled,25% reduction in energy use,false
Green Office Building,10/29/2022,104643.36,LEED Platinum certified,Kandy,LEED Platinum,EcoBuild Constructions,Green Globes,12/24/2023,38.99,No,high-efficiency,local,25% reduction in energy use,true
Green Office Building,2/8/2023,297772.02,LEED Platinum certified,Kandy,LEED Platinum,Eco-Friendly Designs,ENERGY STAR Certified,11/25/2023,48.7,Limited,low-flow,recycled,25% reduction in energy use,false
Green Office Building,9/10/2023,268740.01,Renewable energy sources,Colombo,LEED Gold,Green Architects Inc.,ISO 14001,7/11/2023,62.9,Limited,high-efficiency,certified,30% reduction in energy use,true
Green Office Building,3/4/2023,543172.02,Energy-efficient design,Kandy,LEED Gold,Sustainable Builders,ENERGY STAR Certified,12/24/2023,18.24,Limited,high-efficiency,certified,25% reduction in energy use,false
Sustainable Library,6/29/2023,686764.52,LEED Platinum certified,Colombo,Not Applicable,Green Architects Inc.,LEED,6/12/2023,13.97,Limited,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,9/29/2023,225625.87,Renewable energy sources,Kandy,LEED Gold,Sustainable Builders,ISO 14001,11/6/2023,45.26,Yes,low-flow,recycled,25% reduction in energy use,true
Green Office Building,8/22/2023,718227.32,LEED Platinum certified,Kandy,LEED Gold,Green Building Solutions,ISO 14001,1/1/2024,20.49,Limited,high-efficiency,recycled,30% reduction in energy use,true
Eco Elementary School,9/27/2023,929359.78,Renewable energy sources,Jaffna,LEED Silve,Eco-Friendly Designs,LEED,9/10/2023,65.61,Limited,high-efficiency,sustainable,30% reduction in energy use,true
Sustainable Library,9/4/2023,521037.03,Energy-efficient design,Galle,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,1/30/2024,28.97,No,high-efficiency,reclaimed,25% reduction in energy use,true
Green Office Building,6/6/2023,139055.16,Renewable energy sources,Trincomalee,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,10/27/2023,47.31,Limited,high-efficiency,reclaimed,40% reduction in energy use,false
Green Office Building,5/29/2023,839435.3,Green roof,Gampaha,LEED Silve,Green Architects Inc.,ISO 14001,5/20/2023,43.7,No,high-efficiency,sustainable,25% reduction in energy use,true
Eco Elementary School,4/20/2023,822270.01,Green roof,Matara,LEED Certified,Eco-Friendly Designs,ISO 14001,11/28/2023,24.47,Limited,high-efficiency,reclaimed,25% reduction in energy use,true
Eco Elementary School,10/20/2023,320840.77,Energy-efficient design,Trincomalee,LEED Gold,Green Building Solutions,ENERGY STAR Certified,5/15/2023,1.21,Limited,low-flow,certified,40% reduction in energy use,false
Sustainable Library,5/13/2023,612614.06,Rainwater harvesting,Colombo,LEED Platinum,Sustainable Builders,ISO 14001,2/27/2024,44.99,Yes,high-efficiency,recycled,40% reduction in energy use,true
Eco Elementary School,10/14/2023,381344.74,Energy-efficient design,Gampaha,LEED Silve,Green Building Solutions,LEED,8/7/2023,4.11,Yes,low-flow,local,30% reduction in energy use,false
Green Office Building,1/3/2023,868838.14,Renewable energy sources,Colombo,LEED Certified,EcoBuild Constructions,ENERGY STAR Certified,6/15/2023,95.94,Yes,high-efficiency,certified,40% reduction in energy use,false
Eco Elementary School,1/8/2023,138730.35,Rainwater harvesting,Trincomalee,Not Applicable,Green Building Solutions,ENERGY STAR Certified,1/4/2024,56.86,Yes,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,11/1/2022,711038.54,Energy-efficient design,Colombo,LEED Certified,Green Building Solutions,Green Globes,2/21/2024,31.48,No,low-flow,local,25% reduction in energy use,false
Sustainable Library,4/30/2023,976609.99,Energy-efficient design,Galle,LEED Platinum,Green Building Solutions,LEED,7/19/2023,91.99,Yes,low-flow,local,40% reduction in energy use,true
Sustainable Library,4/4/2023,695345.07,LEED Platinum certified,Anuradhapura,LEED Platinum,Sustainable Builders,Green Globes,8/16/2023,87.55,No,high-efficiency,recycled,30% reduction in energy use,false
Green Office Building,4/21/2023,136352.28,Green roof,Jaffna,LEED Gold,Eco-Friendly Designs,LEED,12/6/2023,79.38,Yes,high-efficiency,local,30% reduction in energy use,true
Eco Elementary School,3/22/2023,292776.02,Green roof,Galle,LEED Certified,Sustainable Builders,Green Globes,9/10/2023,91.7,No,high-efficiency,certified,25% reduction in energy use,true
Eco Elementary School,5/30/2023,749308.12,Energy-efficient design,Matara,LEED Certified,Green Building Solutions,Green Globes,9/21/2023,87.08,Yes,high-efficiency,certified,25% reduction in energy use,false
Eco Elementary School,7/6/2023,764330.07,Energy-efficient design,Gampaha,Not Applicable,Sustainable Builders,LEED,10/17/2023,29.55,Limited,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,11/1/2022,464951.1,LEED Platinum certified,Matara,LEED Silve,Eco-Friendly Designs,LEED,2/6/2024,20.76,Yes,low-flow,reclaimed,25% reduction in energy use,true
Sustainable Library,10/13/2023,956074.47,Energy-efficient design,Negombo,Not Applicable,Eco-Friendly Designs,ENERGY STAR Certified,3/4/2024,13.26,No,high-efficiency,reclaimed,30% reduction in energy use,false
Sustainable Library,11/12/2022,849349.21,Energy-efficient design,Trincomalee,LEED Platinum,EcoBuild Constructions,Green Globes,2/4/2024,92.91,Yes,high-efficiency,sustainable,30% reduction in energy use,true
Eco Elementary School,12/25/2022,869579.09,Green roof,Kurunegala,Not Applicable,Green Building Solutions,ENERGY STAR Certified,5/21/2023,95.85,No,low-flow,sustainable,25% reduction in energy use,false
Eco Elementary School,6/20/2023,794413.13,Renewable energy sources,Gampaha,Not Applicable,Eco-Friendly Designs,LEED,8/2/2023,5.01,Yes,high-efficiency,sustainable,25% reduction in energy use,true
Eco Elementary School,3/25/2023,772682.17,Green roof,Matara,LEED Gold,Green Building Solutions,ENERGY STAR Certified,8/2/2023,92.72,Limited,high-efficiency,certified,30% reduction in energy use,false
Sustainable Library,3/23/2023,627945.58,Energy-efficient design,Anuradhapura,LEED Silve,Eco-Friendly Designs,ENERGY STAR Certified,12/28/2023,2.15,No,low-flow,recycled,40% reduction in energy use,false
Sustainable Library,10/23/2023,303639.0,Energy-efficient design,Kurunegala,LEED Certified,Green Building Solutions,LEED,9/16/2023,43.6,Yes,low-flow,local,25% reduction in energy use,true
Sustainable Library,5/29/2023,383160.5,Rainwater harvesting,Trincomalee,LEED Platinum,Eco-Friendly Designs,ENERGY STAR Certified,11/4/2023,63.67,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,6/4/2023,634545.37,LEED Platinum certified,Kurunegala,LEED Platinum,Green Architects Inc.,ISO 14001,11/3/2023,33.02,Yes,high-efficiency,reclaimed,30% reduction in energy use,true
Green Office Building,8/20/2023,812795.3,LEED Platinum certified,Gampaha,LEED Silve,Green Architects Inc.,ISO 14001,1/20/2024,82.05,Yes,high-efficiency,local,40% reduction in energy use,false
Eco Elementary School,12/23/2022,847566.97,Rainwater harvesting,Gampaha,LEED Gold,EcoBuild Constructions,ISO 14001,6/13/2023,11.67,Yes,high-efficiency,local,25% reduction in energy use,false
Sustainable Library,3/11/2023,990477.83,Green roof,Gampaha,LEED Gold,Eco-Friendly Designs,ISO 14001,11/30/2023,45.34,Limited,low-flow,local,30% reduction in energy use,true
Sustainable Library,5/21/2023,507865.3,Renewable energy sources,Negombo,LEED Silve,Eco-Friendly Designs,ISO 14001,10/14/2023,79.42,Yes,low-flow,recycled,25% reduction in energy use,true
Sustainable Library,5/23/2023,378112.44,Rainwater harvesting,Jaffna,Not Applicable,Green Building Solutions,ENERGY STAR Certified,11/26/2023,34.85,Limited,high-efficiency,local,30% reduction in energy use,true
Sustainable Library,3/12/2023,770248.22,Renewable energy sources,Anuradhapura,Not Applicable,Green Building Solutions,LEED,5/19/2023,77.21,No,low-flow,certified,30% reduction in energy use,true
Sustainable Library,10/18/2023,839067.13,Renewable energy sources,Kurunegala,Not Applicable,EcoBuild Constructions,LEED,3/2/2024,82.59,Yes,high-efficiency,certified,30% reduction in energy use,true
Sustainable Library,1/16/2023,479429.54,Energy-efficient design,Galle,LEED Gold,Eco-Friendly Designs,LEED,12/15/2023,41.72,Limited,low-flow,reclaimed,40% reduction in energy use,true
Green Office Building,8/2/2023,493330.26,Green roof,Matara,LEED Silve,EcoBuild Constructions,Green Globes,8/20/2023,64.59,Yes,low-flow,sustainable,25% reduction in energy use,false
Sustainable Library,12/2/2022,115875.54,Green roof,Negombo,LEED Gold,Green Building Solutions,Green Globes,8/1/2023,68.89,No,high-efficiency,sustainable,30% reduction in energy use,false
Green Office Building,2/10/2023,627577.57,Energy-efficient design,Matara,LEED Certified,Sustainable Builders,Green Globes,5/28/2023,43.16,No,high-efficiency,recycled,25% reduction in energy use,true
Eco Elementary School,11/13/2022,515468.8,Energy-efficient design,Negombo,LEED Certified,Sustainable Builders,ISO 14001,8/7/2023,76.4,Yes,low-flow,recycled,30% reduction in energy use,true
Sustainable Library,3/6/2023,394181.33,LEED Platinum certified,Kandy,LEED Platinum,Sustainable Builders,Green Globes,8/17/2023,94.82,No,low-flow,reclaimed,25% reduction in energy use,true
Sustainable Library,5/14/2023,735997.08,Energy-efficient design,Matara,LEED Certified,Green Architects Inc.,Green Globes,2/21/2024,34.56,Yes,high-efficiency,certified,30% reduction in energy use,true
Eco Elementary School,8/30/2023,133978.36,Renewable energy sources,Anuradhapura,LEED Platinum,Sustainable Builders,Green Globes,6/20/2023,10.26,No,low-flow,recycled,40% reduction in energy use,true
Green Office Building,3/2/2023,171474.97,Rainwater harvesting,Negombo,LEED Gold,EcoBuild Constructions,Green Globes,12/26/2023,11.54,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Eco Elementary School,3/28/2023,708017.31,Renewable energy sources,Negombo,LEED Gold,Sustainable Builders,LEED,8/1/2023,95.57,Yes,high-efficiency,sustainable,30% reduction in energy use,true
Green Office Building,6/22/2023,543329.19,Rainwater harvesting,Colombo,LEED Platinum,Green Building Solutions,ISO 14001,11/7/2023,42.62,Yes,low-flow,reclaimed,30% reduction in energy use,false
Sustainable Library,8/24/2023,709412.92,Rainwater harvesting,Anuradhapura,LEED Silve,Sustainable Builders,Green Globes,12/30/2023,54.96,Yes,low-flow,certified,40% reduction in energy use,true
Green Office Building,1/3/2023,499691.6,LEED Platinum certified,Negombo,LEED Platinum,EcoBuild Constructions,ISO 14001,10/28/2023,50.49,No,low-flow,local,40% reduction in energy use,true
Sustainable Library,2/23/2023,297302.91,Renewable energy sources,Gampaha,LEED Certified,Green Building Solutions,Green Globes,8/26/2023,36.18,Yes,high-efficiency,sustainable,25% reduction in energy use,true
Sustainable Library,11/22/2022,535050.44,Energy-efficient design,Colombo,LEED Silve,Green Building Solutions,Green Globes,9/23/2023,9.18,Yes,high-efficiency,reclaimed,40% reduction in energy use,true
Sustainable Library,6/1/2023,950782.8,Rainwater harvesting,Matara,LEED Platinum,Green Building Solutions,ENERGY STAR Certified,7/27/2023,54.04,No,low-flow,recycled,30% reduction in energy use,true
Sustainable Library,4/27/2023,809747.04,Green roof,Kandy,LEED Gold,Eco-Friendly Designs,ISO 14001,11/25/2023,70.73,No,high-efficiency,reclaimed,40% reduction in energy use,false
Green Office Building,11/25/2022,813792.31,LEED Platinum certified,Anuradhapura,LEED Platinum,Green Architects Inc.,ISO 14001,1/13/2024,65.44,Limited,high-efficiency,local,40% reduction in energy use,true
Green Office Building,12/2/2022,449665.84,Energy-efficient design,Kandy,LEED Silve,Eco-Friendly Designs,ISO 14001,12/19/2023,92.33,Limited,low-flow,recycled,40% reduction in energy use,false
Green Office Building,9/8/2023,670014.13,Energy-efficient design,Anuradhapura,LEED Silve,EcoBuild Constructions,Green Globes,7/10/2023,62.25,Yes,low-flow,local,40% reduction in energy use,false
Green Office Building,10/23/2023,934792.97,LEED Platinum certified,Gampaha,LEED Platinum,Sustainable Builders,ENERGY STAR Certified,10/26/2023,22.37,Limited,high-efficiency,sustainable,40% reduction in energy use,true
Green Office Building,12/19/2022,524134.94,Rainwater harvesting,Kandy,LEED Gold,Eco-Friendly Designs,ISO 14001,6/22/2023,72.87,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Sustainable Library,3/21/2023,170384.39,Green roof,Colombo,LEED Platinum,EcoBuild Constructions,Green Globes,8/28/2023,66.52,Yes,low-flow,local,40% reduction in energy use,false
Sustainable Library,4/16/2023,213876.85,LEED Platinum certified,Kandy,LEED Platinum,Green Building Solutions,Green Globes,1/4/2024,51.72,Yes,low-flow,recycled,25% reduction in energy use,false
Sustainable Library,6/30/2023,150281.09,Rainwater harvesting,Colombo,LEED Certified,EcoBuild Constructions,LEED,7/30/2023,79.52,Limited,high-efficiency,recycled,40% reduction in energy use,true
Sustainable Library,5/12/2023,549953.17,Green roof,Gampaha,LEED Gold,Green Building Solutions,Green Globes,6/28/2023,61.84,No,high-efficiency,local,40% reduction in energy use,true
Sustainable Library,5/31/2023,649827.96,LEED Platinum certified,Colombo,Not Applicable,Eco-Friendly Designs,Green Globes,12/5/2023,81.73,Yes,low-flow,certified,30% reduction in energy use,true
Sustainable Library,10/18/2023,337984.46,Renewable energy sources,Trincomalee,Not Applicable,Sustainable Builders,ISO 14001,5/25/2023,88.66,No,low-flow,local,25% reduction in energy use,true
Eco Elementary School,6/28/2023,100505.09,Green roof,Jaffna,LEED Silve,Eco-Friendly Designs,Green Globes,1/1/2024,40.32,Yes,high-efficiency,sustainable,30% reduction in energy use,false
Sustainable Library,3/16/2023,435093.53,Green roof,Kandy,LEED Platinum,Green Building Solutions,Green Globes,1/2/2024,35.75,Yes,low-flow,recycled,40% reduction in energy use,true
